puesto_trabajo,nombre_empresa,pais,region_estado,salario_minimo,salario_maximo,moneda_salario,periodo_salario,tipo_contrato,categoria,plataforma_origen,tipo_fuente_datos,enlace_oferta
Controlador de Equipos  / Régimen 14x7 / Moquegua,Consulting Advisers,Perú,"Ichuña, Moquegua",2500.0,2500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-controlador-de-equipos--regimen-14x7-moquegua-en-ichuna-57F939661F0E484661373E686DCF3405#lc=ListOffers-Score3-13
Gana mas 2000 al mes! Promotor Comercial / Tienda Retail / Internet y Servicios hogar / San Isidro,Grupo Tawa,Perú,"Jesus Maria, Lima",1800.0,1800.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gana-mas-2000-al-mes-promotor-comercial-tienda-retail-internet-y-servicios-hogar-san-isidro-en-jesus-maria-2945CDA8103271F861373E686DCF3405#lc=ListOffers-Score0-2
Almacenero,Pos Solutions S.A.C.,Perú,"Lima, Lima",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-almacenero-con-experiencia-en-almacen-y-procesos-logisticos-en-lima-3164CDFBE8CCDD6D61373E686DCF3405#lc=ListOffers-Score0-17
Prensista,Cantol S.A.C.,Perú,"Ate, Lima",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-prensista-prensa-excentricas-en-ate-7DC3979AE73DCBBA61373E686DCF3405#lc=ListOffers-Score0-2
Almacenero,medicfic,Perú,"Cerro Colorado, Arequipa",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-almacenero-tiempo-completo-presencial-en-cerro-colorado-621B5AA87487876761373E686DCF3405#lc=ListOffers-Score3-13
Cocinero de comedor,Orbe Gourmet EIRL,Perú,"Pachacamac, Lima",1600.0,1600.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cocinero-de-comedor-en-pachacamac-AC229E8E996A2CDD61373E686DCF3405#lc=ListOffers-Score3-1
Kam autoservicios,P&D ANDINA ALIMENTOS S.A.,Perú,"Lima, Lima",3100.0,3100.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-kam-autoservicios-consumo-masivo-en-lima-7A28EA19F26048EE61373E686DCF3405#lc=ListOffers-Score3-0
Admisionista del área emergencia clínica san Gabriel,Grupo San Pablo,Perú,"Lima, Lima",1350.0,1350.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-admisionista-del-area-emergencia-clinica-san-gabriel-en-lima-2A9A8CEBAB9A5F4261373E686DCF3405#lc=ListOffers-Score3-16
Asesor de soporte Tecnico call centel Entel/Modalidad hibrida/Descartes de Internet 2 do mes remoto,A365,Perú,"Jesus Maria, Lima",1230.0,1230.0,PEN,Mensual,Presencial y remoto,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-soporte-tecnico-call-centel-entelmodalidad-hibridadescartes-de-internet-2-do-mes-remoto-sueldo-fijo-1200-planilla-completa-e-incentivos-en-jesus-maria-369475E235EB75A261373E686DCF3405#lc=ListOffers-Score3-3
Promotor/a de Venta TV TCL  // Puerto Maldonado Efe y Curacao,Soporte Promocional SAC,Perú,"Tambopata, Madre De Dios",1130.0,1130.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-promotora-de-venta-tv-tcl--puerto-maldonado-efe-y-curacao-ingreso-directo-planilla-completa-movilidad-comision-bonos-en-tambopata-48F763A8FEAB706761373E686DCF3405#lc=ListOffers-Score3-0
Backoffice con experiencia en préstamos por convenios,EXPANSION,Perú,"Piura, Piura",1800.0,1800.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-backoffice-con-experiencia-en-prestamos-por-convenios-banco-pichincha-piura-en-piura-1F8E12794786338C61373E686DCF3405#lc=ListOffers-Score3-9
#Trabaja Mini Full! Lunes a Viernes de 6am a 3pm! Fijo S/1400 + Comisiones + Planilla Completa,Grupo Expro,Perú,"Lima, Lima",1400.0,1400.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabaja-mini-full-lunes-a-viernes-de-6am-a-3pm-fijo-s1400-comisiones-planilla-completa-postula-ahora-js-en-lima-D2357B25125BA4C161373E686DCF3405#lc=ListOffers-Score3-18
Atencion al Cliente Bbva Con o Sin Experiencia Contrato a Dia 13,Konecta,Perú,"Lima, Lima",1130.0,1130.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-atencion-al-cliente-bbva-con-o-sin-experiencia-contrato-a-dia-13-descanso-los-domingos-turno-tarde-sede-centro-de-lima-en-lima-F3BF51E7832FCA7061373E686DCF3405#lc=ListOffers-Score3-0
Egresados Ingenieros Industrial/Mecatrónico / Matemáticos/Contadores/Administrativos C/S en Software,,Perú,"San Isidro, Lima",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-egresados-ingenieros-industrialmecatronico-matematicoscontadoresadministrativos-cs-en-software-san-isidro-en-san-isidro-700D748DE053A50561373E686DCF3405#lc=ListOffers-Score0-4
Egresados Ingenieros Industrial/Mecatrónico / Matemáticos/Contadores/Administrativos C/S en Software,,Perú,"San Isidro, Lima",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-egresados-ingenieros-industrialmecatronico-matematicoscontadoresadministrativos-cs-en-software-san-isidro-en-san-isidro-700D748DE053A50561373E686DCF3405#lc=ListOffers-Score3-15
community manager,Passion for Fruit,Perú,"San Juan De Lurigancho, Lima",2500.0,2500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-tarde-noche-en-san-juan-de-lurigancho-7C589AD9BAF9E7DA61373E686DCF3405#lc=ListOffers-Score0-6
Proyecto Data Analitic,Consorcio LP,Perú,"Lima, Lima",4000.0,4000.0,PEN,Mensual,Presencial y remoto,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-proyecto-data-analitic-en-lima-5A76F5037325263961373E686DCF3405#lc=ListOffers-Score3-5
Community manager,CABLE VISIÓN PERÚ,Perú,"Ate, Lima",1700.0,1700.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-en-ate-8D83CB5795CFA3A061373E686DCF3405#lc=ListOffers-Score0-9
Repartidor/ingreso inmediato,,Perú,"La Victoria, Lima",1025.0,1025.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-repartidoringreso-inmediato-en-la-victoria-15E44FA44FC7464961373E686DCF3405#lc=ListOffers-Score3-9
Tecnico de Telecomunicaciones Exp en mantenimiento Sites Con licencia de conducir El Vraem,Manpower,Perú,"Ayacucho, Ayacucho",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-telecomunicaciones-exp-en-mantenimiento-sites-con-licencia-de-conducir-el-vraem-en-ayacucho-198AE4715B3FD24B61373E686DCF3405#lc=ListOffers-Score3-13
Egresados de la carrera Mecánica de bombas de agua y Sistema contra Incendios  Sede San Miguel,Farbis,Perú,"San Miguel, Lima",2000.0,2000.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-egresados-de-la-carrera-mecanica-de-bombas-de-agua-y-sistema-contra-incendios-sede-san-miguel-en-san-miguel-A254061B2CA22C2961373E686DCF3405#lc=ListOffers-Score0-18
