habilidad_general,url
Java,https://www.coursera.org/learn/java-introduction
Machine Learning / IA,https://www.coursera.org/learn/introduction-to-responsible-ai
Machine Learning / IA,https://www.coursera.org/learn/ai-for-medical-prognosis
Programación General,https://www.coursera.org/learn/algorithms-greedy
DevOps y Contenedores,https://www.coursera.org/learn/uva-darden-continous-delivery-devops
"Programación General, Python",https://www.coursera.org/learn/python-programming
Python,https://www.coursera.org/learn/introduction-portfolio-construction-python
Ciencia de Datos,https://www.coursera.org/learn/dataviz-visual-analytics
Estadística y Probabilidad,https://www.coursera.org/learn/introduction-statistics-data-analysis-public-health
JavaScript,https://www.coursera.org/learn/introduction-html-css-javascript
JavaScript,https://www.coursera.org/learn/developing-frontend-apps-with-react
Estadística y Probabilidad,https://www.coursera.org/learn/estadistica-aplicada-negocios
Química,https://www.coursera.org/learn/quimica-en-mi-casa
"Finanzas y Contabilidad, Machine Learning / IA, Marketing Digital",https://www.coursera.org/learn/wharton-ai-applications-marketing-finance
Programación General,https://www.coursera.org/learn/algorithms-on-strings
Machine Learning / IA,https://www.coursera.org/learn/wharton-ai-applications-people-management
JavaScript,https://www.coursera.org/learn/developing-backend-apps-with-nodejs-and-express
Machine Learning / IA,https://www.coursera.org/learn/use-generativeai-as-your-thought-partner
Kotlin / Android,https://www.coursera.org/learn/introduction-to-android-mobile-application-development
Psicología,https://www.coursera.org/learn/positive-psychology-methods
Python,https://www.coursera.org/learn/inferential-statistical-analysis-python
"Estrategia y Operaciones, Machine Learning / IA, Marketing Digital",https://www.coursera.org/learn/digital-marketing-strategy-media-and-ai
Programación General,https://www.coursera.org/learn/introduction-to-computer-programming
Machine Learning / IA,https://www.coursera.org/learn/inteligencia-artificial-interacciones-y-prompts
Machine Learning / IA,https://www.coursera.org/learn/ai-for-medical-treatment
Machine Learning / IA,https://www.coursera.org/learn/ai-deep-learning-capstone
Python,https://www.coursera.org/learn/python-project
Cloud Computing,https://www.coursera.org/learn/architecting-solutions-on-aws
Swift / iOS,https://www.coursera.org/learn/introduction-to-ios-mobile-application-development
Biología,https://www.coursera.org/learn/plant-biology
Ciencia de Datos,https://www.coursera.org/learn/dataviz-dashboards
Programación General,https://www.coursera.org/learn/algorithms-searching-sorting-indexing
Programación General,https://www.coursera.org/learn/dsp1
Marketing Digital,https://www.coursera.org/learn/facebook-social-media-marketing-capstone
Redes,https://www.coursera.org/learn/build-better-generative-adversarial-networks-gans
Machine Learning / IA,https://www.coursera.org/learn/wharton-ai-in-education-leveraging-chatgpt-for-teaching
Machine Learning / IA,https://www.coursera.org/learn/uva-darden-agile-analytics
Machine Learning / IA,https://www.coursera.org/learn/iagenerativa
Machine Learning / IA,https://www.coursera.org/learn/generative-ai-essentials
Gestión de Proyectos,https://www.coursera.org/learn/csm-practice-process-management
Ciberseguridad,https://www.coursera.org/learn/safety-utility-industry
"Java, Programación General",https://www.coursera.org/learn/java-object-oriented-programming
"Programación General, Python",https://www.coursera.org/learn/programacion-python
Machine Learning / IA,https://www.coursera.org/learn/ai-and-public-health
JavaScript,https://www.coursera.org/learn/javascript-basics
Diseño UX/UI,https://www.coursera.org/learn/ui-design
Filosofía,https://www.coursera.org/learn/media-ethics-governance
Sistemas Operativos,https://www.coursera.org/learn/linux-fundamentals
Python,https://www.coursera.org/learn/django-build-web-apps
Go,https://www.coursera.org/learn/golang-functions-methods
