puesto_trabajo,nombre_empresa,pais,region_estado,categoria_busqueda,tipo_contrato,salario,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Desarrollador Fullstack,Ingenieria informatica Kibernum S.A.,cl,"Santiago - Las condes, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-fullstack-senior-en-santiago-las-condes-E455C4B4C548D4CC61373E686DCF3405#lc=ListOffers-Score3-12
Analista de logística,NA,cl,"Santiago - conchalí, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-logistica-santiago-presencial-en-santiago-conchali-BE93BA456DAD016F61373E686DCF3405#lc=ListOffers-Score3-13
Desarrollador Full Stack JS,Alcansa,cl,"Santiago - Vitacura, R.Metropolitana",sql,Presencial y remoto,"$ 1.500.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-full-stack-js-vitacura-en-santiago-vitacura-DE68CFFCD13A81B861373E686DCF3405#lc=ListOffers-Score3-14
Jefe de Proyectos Junior TI,Perceptual Consultores Ltda.,cl,"Santiago Centro, R.Metropolitana",sql,NA,"$ 1.800.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-proyectos-junior-ti-phppython-contrato-indefinido-en-santiago-centro-C79595C5EA2D5F6961373E686DCF3405#lc=ListOffers-Score3-15
Control de Material y Certificación,Oca Chile,cl,"Santiago - Providencia, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-control-de-material-y-certificacion-en-santiago-providencia-D9483B15C69511B761373E686DCF3405#lc=ListOffers-Score3-16
Desarrollador BackEnd,Ingenieria informatica Kibernum S.A.,cl,"Santiago - Providencia, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-backend-aws-en-santiago-providencia-088231BE008AFC0461373E686DCF3405#lc=ListOffers-Score3-17
"Ejecutivo(a) de Producción, Servicios transitorios (Plazo Fijo)",workmate,cl,"Santiago - Estación Central, R.Metropolitana",sql,NA,"$ 724.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivoa-de-produccion-servicios-transitorios-plazo-fijo-en-santiago-estacion-central-D055320BF7355E5C61373E686DCF3405#lc=ListOffers-Score3-18
Analista de Datos para Operaciones Financieras,Progesys,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista de datos para operaciones financieras-santiago-en-santiago-centro-3F3C07406D2AC2EF61373E686DCF3405#lc=ListOffers-Score3-19
Especialista en Gestión de Proyectos,Avos Tech,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-en-gestion-de-proyectos-en-santiago-centro-914EACE146F3C5F061373E686DCF3405#lc=ListOffers-Score3-0
Trabajo Desde Casa Analista de Datos Senior / Ref. 1028,BairesDev LLC,cl,"Valparaíso, Valparaíso",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-analista-de-datos-senior-ref-1028-en-valparaiso-4B3779E1F300D32761373E686DCF3405#lc=ListOffers-Score3-1
Desarrollador Java/ Vue,TicMoAI,cl,"Santiago Centro, R.Metropolitana",sql,NA,"$ 2.500.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-vue-proyecto-de-6-meses-en-santiago-centro-31A7130734C436C261373E686DCF3405#lc=ListOffers-Score3-2
Desarrollador Full Stack,TicMoAI,cl,"Santiago - Providencia, R.Metropolitana",sql,Presencial y remoto,"$ 2.300.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-full-stack-en-santiago-providencia-C22882B19CD2994961373E686DCF3405#lc=ListOffers-Score3-3
Desarrollador ETL PowerCenter,BCTecnología,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,"$ 2.400.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-etl-powercenter-en-santiago-centro-094AE7154E73284361373E686DCF3405#lc=ListOffers-Score3-4
Analista Programador AS/400 RPG,IT People S.A.,cl,"Santiago - Providencia, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-as400-rpg-en-santiago-providencia-1E155B35479ACD5461373E686DCF3405#lc=ListOffers-Score3-5
Desarrollador java,TicMoAI,cl,"Santiago - Providencia, R.Metropolitana",sql,Presencial y remoto,"$ 2.000.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-en-santiago-providencia-C49B47528569A7D961373E686DCF3405#lc=ListOffers-Score3-6
"Desarrollador Java Swing, escritorio (No web)",Trebol IT,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-swing-escritorio-no-web-presencial-stgo-centro-en-santiago-centro-C2127D6188F27A1161373E686DCF3405#lc=ListOffers-Score3-7
Cloud Platform Engineer Semi Senior,BCTecnología,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cloud-platform-engineer-semi-senior-en-santiago-centro-38DBC06244ACC4D261373E686DCF3405#lc=ListOffers-Score3-8
Ingeniero en redes y Telecomunicaciones/ Viña Del Mar,Incosec,cl,"Viña del Mar, Valparaíso",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-redes-y-telecomunicaciones-vina-del-mar-proyecto-en-vina-del-mar-1A4DCE96FAA4144361373E686DCF3405#lc=ListOffers-Score3-9
Consultor de Estrategia BI  Especialista en MicroStrategy,BCTecnología,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,"$ 2.500.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-consultor-de-estrategia-bi-especialista-en-microstrategy-en-santiago-centro-2713C2C1BAE5D0D861373E686DCF3405#lc=ListOffers-Score3-10
Encargado/a de Control de Gestión y Power BI,LL Consulting,cl,"Arauco, Bíobío",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-encargadoa-de-control-de-gestion-y-power-bi-golfo-de-arauco-en-arauco-76ABBF2C5E506EAF61373E686DCF3405#lc=ListOffers-Score3-11
Analista QA Senior,NA,cl,"Santiago - Providencia, R.Metropolitana",sql,NA,"$ 1.000.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-qa-senior-analista-qa-senior-en-santiago-providencia-7535E39EC251594261373E686DCF3405#lc=ListOffers-Score3-12
Data Engineer/ Java,DCS Chile,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-data-engineer-java-en-santiago-centro-5B2F1F6585D379A761373E686DCF3405#lc=ListOffers-Score3-13
Desarrollador Full Stack  NodeJS  React,Genesys Ltda.,cl,"Santiago - Huechuraba, R.Metropolitana",sql,Presencial y remoto,"$ 1.111.111,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-full-stack-nodejs-react-en-santiago-huechuraba-D1BCE55F1A4DE1D461373E686DCF3405#lc=ListOffers-Score3-14
Analista de Campañas y Segmentación,Randstad,cl,"Santiago - Las condes, R.Metropolitana",sql,NA,"$ 1.000.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-campanas-y-segmentacion-en-santiago-las-condes-6E96F054B2753AA761373E686DCF3405#lc=ListOffers-Score3-15
Data Scientist,PROMET SERVICIOS SPA,cl,"Santiago - Huechuraba, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-data-scientist-en-santiago-huechuraba-9892FEFF9A9AC3D661373E686DCF3405#lc=ListOffers-Score3-16
Analista de Operaciones,Genesys Ltda.,cl,"Santiago Centro, R.Metropolitana",sql,NA,"$ 1.111.111,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-operaciones-en-santiago-centro-B2C33F6C29105B8F61373E686DCF3405#lc=ListOffers-Score3-17
Analista desarrollador  PHP,MM ASESORIAS,cl,"Santiago Centro, R.Metropolitana",sql,NA,"$ 1.600.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-desarrollador-php-en-santiago-centro-B35618A9928D817461373E686DCF3405#lc=ListOffers-Score3-18
Analista de explotación,Ingenieria informatica Kibernum S.A.,cl,"Santiago - Las condes, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-explotacion-en-santiago-las-condes-6487D5D21BA44AEB61373E686DCF3405#lc=ListOffers-Score3-19
Desarrollador .NET,MM ASESORIAS,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-en-santiago-centro-5C4356F1D53AF62561373E686DCF3405#lc=ListOffers-Score3-0
Data Engineer,Genesys Ltda.,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,"$ 1.111.111,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-data-engineer-en-santiago-centro-80D788ABF292B30261373E686DCF3405#lc=ListOffers-Score3-1
Analista/Desarrollador Fullstack,BCTecnología,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,"$ 2.600.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analistadesarrollador-fullstack-en-santiago-centro-CB2D3C5C635049DE61373E686DCF3405#lc=ListOffers-Score3-2
Fullstack NodeJS Angular14 NestJS,Trebol IT,cl,"Santiago - Las condes, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-fullstack-nodejs-angular14-nestjs-en-santiago-las-condes-1B9BD7960471BE9261373E686DCF3405#lc=ListOffers-Score3-3
Consultor  Digital,AKVA group,cl,"Puerto Montt, Los Lagos",sql,NA,"$ 1.000.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-consultor-digital-en-puerto-montt-D04B38CA7240BC9761373E686DCF3405#lc=ListOffers-Score3-4
Desarrollador/a Full Stack,BCTecnología,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrolladora-full-stack-en-santiago-centro-C199C97DA73715B361373E686DCF3405#lc=ListOffers-Score3-5
Desarrollador Fullstack,Michael Page,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-fullstack-net-core-8-oracle-19c-azure-en-santiago-centro-99E70B3FD7D278FE61373E686DCF3405#lc=ListOffers-Score3-6
Technical Lead / Líder Técnico,Cpim,cl,"Santiago - Las condes, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-technical-lead-lider-tecnico-de-proyectos-de-tecnologia-en-santiago-las-condes-881980B241DAAA0A61373E686DCF3405#lc=ListOffers-Score3-7
Líder Técnico,Perceptual Consultores Ltda.,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lider-tecnico-celulas-de-desarrollo-en-santiago-centro-8DBD60530BF5692961373E686DCF3405#lc=ListOffers-Score3-8
Work From Home Fullstack Node + Nest + React Developer / Ref. 0111,BairesDev LLC,cl,"Valparaíso, Valparaíso",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-fullstack-node-nest-react-developer-ref-0111-en-valparaiso-762E900CDA2811B761373E686DCF3405#lc=ListOffers-Score3-9
Análisis de Datos y Procesos Administrativos Junior,Ingenieria informatica Kibernum S.A.,cl,"Santiago - Las condes, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analisis-de-datos-y-procesos-administrativos-junior-en-santiago-las-condes-A618B627D272036C61373E686DCF3405#lc=ListOffers-Score3-10
Senior Machine Learning Engineer,Axity,cl,"Santiago - Las condes, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-senior-machine-learning-engineer-en-santiago-las-condes-CC0FD890FFA366E861373E686DCF3405#lc=ListOffers-Score3-11
Se requiere Ingeniero Civil en Informática o  Ingeniero Informático Recién Titulado o Egresado,NA,cl,"Santiago - Providencia, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-se-requiere-ingeniero-civil-en-informatica-o-ingeniero-informatico-recien-titulado-o-egresado-en-santiago-providencia-AB92032884F2ADF461373E686DCF3405#lc=ListOffers-Score3-12
Analista QA Funcional,Valor Unico,cl,"Santiago - Providencia, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-qa-funcional-modalidad-hibrida-providencia-en-santiago-providencia-2D7E4D74740A689461373E686DCF3405#lc=ListOffers-Score3-13
Analista de Datos – Santiago Centro,NA,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-santiago-centro-full-time-cupo-fijo-en-santiago-centro-5269510960FE4B3561373E686DCF3405#lc=ListOffers-Score3-14
Desarrollador Full Stack Net Angular,Tecnova Soluciones Informáticas,cl,"Santiago Centro, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-full-stack-net-angular-desarrollador-full-stack-net-angular-en-santiago-centro-EAE79CCAC97043EA61373E686DCF3405#lc=ListOffers-Score3-15
"Asistente Contable, FIN 700",GRUPO SMS CHILE SPA,cl,"Santiago - Providencia, R.Metropolitana",sql,Presencial y remoto,"$ 1.111.111,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-contable-fin-700-proyecto-4-meses-en-santiago-providencia-AEC92E35BDFC436461373E686DCF3405#lc=ListOffers-Score3-16
Trabajo Desde Casa Desarrollador ASP.NET / Investigación y Desarrollo / Ref. 0001,BairesDev LLC,cl,"Concepción, Bíobío",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-aspnet-investigacion-y-desarrollo-ref-0001-en-concepcion-55FBCA91802E2EC761373E686DCF3405#lc=ListOffers-Score3-17
Trabajo Desde Casa Desarrollador Backend Junior Python / Investigación + Desarrollo / Ref. 0071,BairesDev LLC,cl,"Concepción, Bíobío",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-backend-junior-python-investigacion-desarrollo-ref-0071-en-concepcion-5DC858A8A8BA60DB61373E686DCF3405#lc=ListOffers-Score3-18
Analista de Negocios / Huechuraba,Eurofirms Chile,cl,"Santiago - Huechuraba, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-negocios-huechuraba-en-santiago-huechuraba-553CF7608721543761373E686DCF3405#lc=ListOffers-Score3-19
Analista de Sistema Senior,RIPLEY,cl,"Santiago - Las condes, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistema-senior-en-santiago-las-condes-9B344F452BB33EA861373E686DCF3405#lc=ListOffers-Score3-0
Desarrolladores Java Springboot,Abenis,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrolladores-java-springboot-ingenieros-titulados-en-santiago-centro-E2BFD5BE09CE49F561373E686DCF3405#lc=ListOffers-Score3-1
Periodista o community manager junior,NA,cl,"Santiago - Las condes, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-periodista-o-community-manager-junior-analista-de-comunicaciones-en-santiago-las-condes-9862FBE758E96D0061373E686DCF3405#lc=ListOffers-Score3-2
Ingeniero Business Intelligence,Perceptual Consultores Ltda.,cl,"Santiago - Providencia, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-business-intelligence-en-santiago-providencia-382FDA0FCE14B41961373E686DCF3405#lc=ListOffers-Score3-3
Soporte TI Junior,Perceptual Consultores Ltda.,cl,"Santiago - Providencia, R.Metropolitana",sql,NA,"$ 750.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-ti-junior-infraestructura-en-santiago-providencia-010ADA661D84D9AF61373E686DCF3405#lc=ListOffers-Score3-4
Trabajo Desde Casa Desarrollador Junior/MidLevel .NET / I + D / Ref. 0001,BairesDev LLC,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-juniormidlevel-net-i-d-ref-0001-en-santiago-centro-3BF06499F9703C8061373E686DCF3405#lc=ListOffers-Score3-5
Analista gestión de información,XinerLink,cl,"Santiago - Las condes, R.Metropolitana",sql,NA,"$ 1.355.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-gestion-de-informacion-las-condes-en-santiago-las-condes-0578865A15B7A9BC61373E686DCF3405#lc=ListOffers-Score3-6
Analista Programador para Reporterías BI,Burô Temps,cl,"Santiago - Providencia, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-para-reporterias-bi-providencia-presencial-en-santiago-providencia-0910C91113C2CA2E61373E686DCF3405#lc=ListOffers-Score3-7
Trabajo Desde Casa Ingeniero iOS / Ref. 0047,BairesDev LLC,cl,"Concepción, Bíobío",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-ios-ref-0047-en-concepcion-E3043C563F25D8EF61373E686DCF3405#lc=ListOffers-Score3-8
Trabajo Desde Casa Desarrollador Java Backend / Ref. 0003,BairesDev LLC,cl,"Santiago - Cerrillos, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-java-backend-ref-0003-en-santiago-cerrillos-34A2A5A2C481B15E61373E686DCF3405#lc=ListOffers-Score3-9
Trabajo Desde Casa Desarrollador Junior/MidLevel Java / Ref. 0003,BairesDev LLC,cl,"Puente Alto, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-juniormidlevel-java-ref-0003-en-puente-alto-93DF67F01EF7C38B61373E686DCF3405#lc=ListOffers-Score3-10
Técnico de soporte / Experiencia en programación,Progestion Chile,cl,"Santiago - Providencia, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-soporte-experiencia-en-programacion-en-santiago-providencia-C49F5D2804A853F861373E686DCF3405#lc=ListOffers-Score3-11
Especialista en Comunicaciones Digitales Masivas,NA,cl,"Santiago - Las condes, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-en-comunicaciones-digitales-masivas-region-metropolitana-en-santiago-las-condes-8C1A58E9C20D8B3F61373E686DCF3405#lc=ListOffers-Score3-12
Trabajo Desde Casa Desarrollador PHP / Ref. 0021,BairesDev LLC,cl,"Puente Alto, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-php-ref-0021-en-puente-alto-3A7F631046C04C9561373E686DCF3405#lc=ListOffers-Score3-13
Work From Home Power BI / Ref. 0221E,BairesDev LLC,cl,"Antofagasta, Antofagasta",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-power-bi-ref-0221e-en-antofagasta-970B83CF8410884761373E686DCF3405#lc=ListOffers-Score3-14
Prueba 10/02 Asesor Financiero Senior,RIPLEY,cl,"Santiago Centro, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-prueba-1002-asesor-financiero-senior-en-santiago-centro-7D1183453FF3E47361373E686DCF3405#lc=ListOffers-Score3-15
Trabajo Desde Casa Python Developer / Ref. 0071,BairesDev LLC,cl,"Viña del Mar, Valparaíso",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-python-developer-ref-0071-en-vina-del-mar-8964CE6326290D9861373E686DCF3405#lc=ListOffers-Score3-16
Programador Backend,Perceptual Consultores Ltda.,cl,"Santiago - Lo Barnechea, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-backend-nodejstypescript-en-santiago-lo-barnechea-A7BC51F80746AB4861373E686DCF3405#lc=ListOffers-Score3-17
Trabajo Desde Casa Arquitecto React Frontend / Ref. 0169,BairesDev LLC,cl,"Valparaíso, Valparaíso",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-arquitecto-react-frontend-ref-0169-en-valparaiso-06088FD72565C44061373E686DCF3405#lc=ListOffers-Score3-18
Desarrollador .NET Core,Abenis,cl,"Santiago - Providencia, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-core-hibrido-en-santiago-providencia-FC672C5F3BDC8C8961373E686DCF3405#lc=ListOffers-Score3-19
Desarrollador Back End,Progestion Chile,cl,"Santiago - Providencia, R.Metropolitana",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-back-end-en-santiago-providencia-B0BA1A0BAC450B4A61373E686DCF3405#lc=ListOffers-Score3-0
Trabajo Desde Casa React Native Developer / Ref. 0198,BairesDev LLC,cl,"Concepción, Bíobío",sql,NA,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-react-native-developer-ref-0198-en-concepcion-C6BED4CDC81BA9EE61373E686DCF3405#lc=ListOffers-Score3-1
Jefe de Proyectos Junior TI,Perceptual Consultores Ltda.,cl,"Santiago Centro, R.Metropolitana",sql,NA,"$ 1.800.000,00 (Mensual)",CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-proyectos-junior-ti-phppython-contrato-indefinido-en-santiago-centro-25FA332940B43CB161373E686DCF3405#lc=ListOffers-Score3-2
Asistente de Comunicaciones Digitales,NA,cl,"Santiago - Las condes, R.Metropolitana",sql,Presencial y remoto,NA,CLP,Mensual,Computrabajo,Web Scraping,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-comunicaciones-digitales-region-metropolitana-en-santiago-las-condes-B3448F460BA8456461373E686DCF3405#lc=ListOffers-Score3-3
