puesto_trabajo,nombre_empresa,pais,region_estado,categoria_busqueda,tipo_contrato,salario,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Analista data y reportería/Consumo masivo/Lunes a viernes/ San Isidro,Manpower,pe,"San Isidro, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-data-y-reporteriaconsumo-masivolunes-a-viernes-san-isidro-ref-81023-en-san-isidro-82FBB89B2A76CF7461373E686DCF3405#lc=ListOffers-Score3-5
Coordinador de Proyectos de High Tech,NA,pe,"Pisco, Ica",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-proyectos-de-high-tech-sede-pisco-proyecto-de-2-meses-por-rxh-en-pisco-F443627C466D26A261373E686DCF3405#lc=ListOffers-Score3-6
Practicante de gerencia de División de Créditos BCP,Adecco Perú S.A.,pe,"La Molina, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-gerencia-de-division-de-creditos-bcp-en-la-molina-9628DD96FA0781C861373E686DCF3405#lc=ListOffers-Score3-7
Analista programador.python,Cantol S.A.C.,pe,"Ate, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programadorpython-ate-en-ate-7534F69C9BF7461061373E686DCF3405#lc=ListOffers-Score3-8
Auxiliar de sistemas,NA,pe,"Lima, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-sistemas-ti-presencial-en-lima-5C7E6D5405451F7961373E686DCF3405#lc=ListOffers-Score3-9
Analista Programador Fullstack  Sector Seguros,Materia Gris,pe,"Surquillo, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-fullstack-sector-seguros-presencial-en-surquillo-DA72B4CE5686FFB161373E686DCF3405#lc=ListOffers-Score3-10
Asistente de Proyectos de Innovación TI,MF Asesoria y Consultoria SAC,pe,"La Victoria, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-proyectos-de-innovacion-ti-la-victoria-a-02-cuadra-metro-de-canada-en-la-victoria-550B6CF1C4286BED61373E686DCF3405#lc=ListOffers-Score3-11
Ingeniero de datos / Azure/ San isidro,Los Portales,pe,"Lima, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-datos-azure-san-isidro-en-lima-2E9F7AF4C9DA6F3361373E686DCF3405#lc=ListOffers-Score3-12
Full Stack Developer / Híbrido,ADN Selection,pe,"Miraflores, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-full-stack-developer-hibrido-en-miraflores-1E6BB87C8F55362261373E686DCF3405#lc=ListOffers-Score3-13
Asistente de Tesoreria,NA,pe,"Santiago De Surco, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-tesoreria-en-santiago-de-surco-393567030ECA78A861373E686DCF3405#lc=ListOffers-Score3-14
