puesto_trabajo,nombre_empresa,pais,region_estado,tipo_contrato,salario_minimo,salario_maximo,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
analista de sistemas,CONTE GROUP SAC,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemas-en-ate-90F13712B8D0918D61373E686DCF3405#lc=ListOffers-Score3-9
Técnicas en Farmacia,Clinica Cayetano Heredia,Perú,"El Tambo, Junin",NA,"S/. 1.130,00 (Mensual)","S/. 1.130,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicas-en-farmacia-en-el-tambo-B21A17C406E0700F61373E686DCF3405#lc=ListOffers-Score3-10
Urgente / Supervisor Ssoma Junior / Zona sur,EULEN del Perú,Perú,"Lima, Lima",NA,"S/. 1.800,00 (Mensual)","S/. 1.800,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-urgente-supervisor-ssoma-junior-zona-sur-planilla-completa-en-lima-2E798BF932CC8DD961373E686DCF3405#lc=ListOffers-Score3-11
Analista de créditos consumo  Anta,CAC SANTO DOMINGO DE GUZMAN L,Perú,"Cusco, Cusco",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-creditos-consumo-anta-anta-en-cusco-D33476F20BA1AD2E61373E686DCF3405#lc=ListOffers-Score3-12
Supervisor/a de Limpieza,SSAYS SAC,Perú,"Callao, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisora-de-limpieza-nuevo-aeropuertocallao-en-callao-C6F53D8EBB8F880D61373E686DCF3405#lc=ListOffers-Score3-13
electrónico/a,PINTO VELAOCHAGA ERWIN FRANCISCO,Perú,"Lima, Lima",NA,"S/. 2.800,00 (Mensual)","S/. 2.800,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-electronicoa-reparacion-de-placas-electronicas-en-lima-F24F298DD0452D1361373E686DCF3405#lc=ListOffers-Score3-14
Tecnologo Medico de Laboratorio / Clinica Lima (Surco),S.G NATCLAR SAC,Perú,"San Isidro, Lima",NA,"S/. 3.500,00 (Mensual)","S/. 3.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnologo-medico-de-laboratorio-clinica-lima-surco-en-san-isidro-EB625E04150085D661373E686DCF3405#lc=ListOffers-Score3-15
Supervisor de Producción,MEDIFARMA,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-de-produccion-quimico-farmaceutico-en-lima-EE9ABEAB2423669B61373E686DCF3405#lc=ListOffers-Score3-16
Técnicos Instaladores FTTH/HFC Altas,LPS,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicos-instaladores-ftthhfc-altas-telecomunicaciones-en-lima-DB30F91E18C5CBA861373E686DCF3405#lc=ListOffers-Score3-17
Ayudante de Mantenimiento,Panorama Bpo,Perú,"Chorrillos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ayudante-de-mantenimiento-en-chorrillos-9FC668232E15FCAC61373E686DCF3405#lc=ListOffers-Score3-18
Mecánico de Mantenimiento / Planta Textil,Panorama Bpo,Perú,"Chorrillos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-mecanico-de-mantenimiento-planta-textil-en-chorrillos-4482F1FEB4898C4961373E686DCF3405#lc=ListOffers-Score3-19
Analista Programador / Miraflores / Inglés Intermedio,Consulting Advisers,Perú,"Miraflores, Lima",NA,"S/. 3.500,00 (Mensual)","S/. 3.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-miraflores-ingles-intermedio-en-miraflores-7F50CB101360B2BF61373E686DCF3405#lc=ListOffers-Score3-0
Gestor de Cobranza Motorizado con experiencias de preferencia contar con moto o vehículo propio,Bigmond Group,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gestor-de-cobranza-motorizado-con-experiencias-de-preferencia-contar-con-moto-o-vehiculo-propio-lima-centro-san-isidro-miraflores-surco-descanso-fijo-domingos-en-lima-20BC1FDF4D6C9BEC61373E686DCF3405#lc=ListOffers-Score3-1
Gestor de Cobranza Bagua Capital,CAJA TRUJILLO,Perú,"Bagua, Amazonas",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gestor-de-cobranza-bagua-capital-en-bagua-9277728EFB13A60D61373E686DCF3405#lc=ListOffers-Score3-2
Asistente de Proyectos de Innovación TI,MF Asesoria y Consultoria SAC,Perú,"La Victoria, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-proyectos-de-innovacion-ti-la-victoria-a-02-cuadra-metro-de-canada-en-la-victoria-A97E38E4C82479ED61373E686DCF3405#lc=ListOffers-Score3-3
Admisionista Ambulatorio / Clínica San Juan Bautista (Grupo San Pablo),Grupo San Pablo,Perú,"San Juan De Lurigancho, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-admisionista-ambulatorio-clinica-san-juan-bautista-grupo-san-pablo-san-juan-de-lurigancho-en-san-juan-de-lurigancho-D423D19271FABEFB61373E686DCF3405#lc=ListOffers-Score3-4
Asistente Ti,EUROFLEX PERU S.A.C.,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-ti-en-ate-3F5FF50F2B94DCAD61373E686DCF3405#lc=ListOffers-Score3-5
Desarrollador BackEnd,INDIGITAL,Perú,"Barranco, Lima",Presencial y remoto,"S/. 2.000,00 (Mensual)","S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-backend-hibrido-barranco-en-barranco-559D7E316D513E2961373E686DCF3405#lc=ListOffers-Score3-6
Busser/Corredor Full Time,Inversiones Fisa,Perú,"Callao, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-bussercorredor-full-time-en-callao-10A7FFAE3410D82F61373E686DCF3405#lc=ListOffers-Score3-7
Asistente In House /  Cercado de Lima,Afe Service Sac,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-in-house--cercado-de-lima-en-lima-3327422D7627063161373E686DCF3405#lc=ListOffers-Score3-8
