puesto_trabajo,nombre_empresa,pais,region_estado,tipo_contrato,salario_minimo,salario_maximo,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Controller de Contact Center,Universidad Peruana Cayetano Heredia,Perú,"San Martin De Porres, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-controller-de-contact-center-san-isidro-en-san-martin-de-porres-0030DE3AB7033CD961373E686DCF3405#lc=ListOffers-Score3-2
Analista de Integridad Estructural,MAKYL ECS E.I.R.L.,Perú,"San Luis, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-integridad-estructural-sede-lima-y-proyectos-mineros-en-san-luis-1107B863112F074461373E686DCF3405#lc=ListOffers-Score3-3
Ingeniero de Cotizaciones Básicas,Din Automatización SAC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-cotizaciones-basicas-en-lima-715D6FF43AA7AE2061373E686DCF3405#lc=ListOffers-Score3-4
Ingeniero de Costos y Presupuesto Electrico,Natural Gas Company S.A.C.,Perú,"San Borja, Lima",NA,"S/. 3.000,00 (Mensual)","S/. 3.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-costos-y-presupuesto-electrico-ingenieria-en-san-borja-1E82DB73B4C6048461373E686DCF3405#lc=ListOffers-Score3-5
¡¡ Urgente trabaja Remoto Asesores de Cobranza call center!!  con Experiencia Gana de s/1200,Kobranzas SAC,Perú,"Los Olivos, Lima",NA,"S/. 1.200,00 (Mensual)","S/. 1.200,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de--urgente-trabaja-remoto-asesores-de-cobranza-call-center-con-experiencia-gana-de-s1200-comisiones-bonos-en-los-olivos-CEBE3F69947107B961373E686DCF3405#lc=ListOffers-Score3-6
Programador (Temporal),Caja Rural de Ahorro y Credito Los Andes S.A.,Perú,"Puno, Puno",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-temporal-en-puno-7474138E85E5FE8261373E686DCF3405#lc=ListOffers-Score3-7
Analista de costos Contable,Llamagas,Perú,"Santiago De Surco, Lima",NA,"S/. 3.500,00 (Mensual)","S/. 3.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-costos-contable-surco-en-santiago-de-surco-A3FF7C2503695FC061373E686DCF3405#lc=ListOffers-Score3-8
Técnico de laboratorio,INTEGRAMEDICA PERU,Perú,"San Luis, Lima",NA,"S/. 1.400,00 (Mensual)","S/. 1.400,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-laboratorio-clinica-en-san-luis-exp-neonatos-y-gases-arteriales-en-san-luis-CF8160096253D97561373E686DCF3405#lc=ListOffers-Score3-9
Analista de Infraestructura Cloud,NA,Perú,"Lima, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-infraestructura-cloud-en-lima-2769E494389A111B61373E686DCF3405#lc=ListOffers-Score3-10
6713 Técnico Operador de Terminal (experiencia en sector hidrocarburos) Residentes Chimbote,Grupo Aenza,Perú,"Chimbote, Ancash",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-6713-tecnico-operador-de-terminal-experiencia-en-sector-hidrocarburos-residentes-chimbote-en-chimbote-219E5C1EAFCD88B261373E686DCF3405#lc=ListOffers-Score3-11
enfermero/a,NA,Perú,"San Juan De Lurigancho, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-enfermeroa-con-experiencia-en-san-juan-de-lurigancho-C0DE57C9CE86B0DC61373E686DCF3405#lc=ListOffers-Score3-12
Asesor de Ventas Empresas,GPC Perú,Perú,"Lima, Lima",NA,"S/. 1.400,00 (Mensual)","S/. 1.400,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-empresas-en-lima-0F24E80B77FB756961373E686DCF3405#lc=ListOffers-Score3-13
Electricista (Rioja),Grupo Pacasmayo,Perú,"Rioja, San Martin",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-electricista-rioja-en-rioja-8FF344C8CC0AD13D61373E686DCF3405#lc=ListOffers-Score3-14
Técnico de Mantenimiento (Planta/Almacén Lurín),Cushman & Wakefield Peru,Perú,"Lurin, Lima",NA,"S/. 2.300,00 (Mensual)","S/. 2.300,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-mantenimiento-plantaalmacen-lurin-en-lurin-147C0BFC737E4A1161373E686DCF3405#lc=ListOffers-Score3-15
Ingeniero de seguridad y medio ambiente,ALEJOS SRL,Perú,"San Martin De Porres, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-seguridad-y-medio-ambiente-con-experiencia-en-san-martin-de-porres-323EAA074B0F21B461373E686DCF3405#lc=ListOffers-Score3-16
Técnico Automotriz Electricista,Talma Servicios Aeroportuarios,Perú,"Callao, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-automotriz-electricista-en-callao-C9333398B611505F61373E686DCF3405#lc=ListOffers-Score3-17
Analista senior de control de gestión,NA,Perú,"Sullana, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-senior-de-control-de-gestion-en-sullana-4F0795A11A892BC061373E686DCF3405#lc=ListOffers-Score3-18
Auxiliar,MERINSAC,Perú,"Surquillo, Lima",NA,"S/. 1.600,00 (Mensual)","S/. 1.600,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-administracion-en-surquillo-90B1D92EBA8065D461373E686DCF3405#lc=ListOffers-Score3-19
Asesor/a televentas / Callcenter / Comisiones / Horario hibrido,Sharf,Perú,"Callao, Callao",Presencial y remoto,"S/. 1.500,00 (Mensual)","S/. 1.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesora-televentas-callcenter-comisiones-horario-hibrido-venta-de-servicios-en-callao-2DBC8D62913F9CDC61373E686DCF3405#lc=ListOffers-Score3-0
Técnico en Contabilidad para Recursos Humanos San Borja,NA,Perú,"San Borja, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-contabilidad-para-recursos-humanos-san-borja-disponibilidad-inmediata-en-san-borja-35A0C159435C89EF61373E686DCF3405#lc=ListOffers-Score3-1
Técnico Matricero/a,Tecnofil S.A.,Perú,"Independencia, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-matriceroa-en-independencia-4C1BEEEF0DEB012661373E686DCF3405#lc=ListOffers-Score3-2
Operador de volquete / Mineria 14x7,San Martin Contratistas Generales S.A,Perú,"Marcona, Ica",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-de-volquete-mineria-14x7-ica-marcona-en-marcona-C419007F684D05AB61373E686DCF3405#lc=ListOffers-Score3-3
Practicante Profesional Logístico,NA,Perú,"Arequipa, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-logistico-en-arequipa-D6558C832970461361373E686DCF3405#lc=ListOffers-Score3-4
Controlador de Patio Importaciones/Exportaciones,FARGOLINE S.A.,Perú,"Callao, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-controlador-de-patio-importacionesexportaciones-en-callao-3A5F5501154A24B361373E686DCF3405#lc=ListOffers-Score3-5
Asistente Administrativo,Disposed Courier S.A.C.,Perú,"Lima, Lima",NA,"S/. 1.129,00 (Mensual)","S/. 1.129,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-administrativo-en-lima-FDFBB22BFEB9819D61373E686DCF3405#lc=ListOffers-Score3-6
Jefe de Calidad Pachacamac,NA,Perú,"Lurin, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-calidad-pachacamac-pachacamac-en-lurin-112517D963A2F82461373E686DCF3405#lc=ListOffers-Score3-7
analista comercial,NA,Perú,"La Victoria, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-comercial-con-experiencia-en-rubro-imprenta-en-la-victoria-B70F22D6C5DF46B561373E686DCF3405#lc=ListOffers-Score3-8
Técnico de laboratorio (Miraflores),Unilabs,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-laboratorio-miraflores-en-lima-FC16AFDD0AB61E9661373E686DCF3405#lc=ListOffers-Score3-9
Técnico de reparación de componentes / Callao,KOMATSU - MITSUI MAQUINARIAS,Perú,"Callao, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-reparacion-de-componentes-callao-urgente-en-callao-480D584FA640C01F61373E686DCF3405#lc=ListOffers-Score3-10
Asesor de negocios,NA,Perú,"Nuevo Chimbote, Ancash",NA,"S/. 1.443,00 (Mensual)","S/. 1.443,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-negocios-nuevo-chimbote-en-nuevo-chimbote-AED6C38C5172B6DA61373E686DCF3405#lc=ListOffers-Score3-11
Ejecutivo(a) de Ventas Norte Chico,Huemura SAC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivoa-de-ventas-norte-chico-norte-chico-en-lima-9EBCBEA390DB84E461373E686DCF3405#lc=ListOffers-Score3-12
Reclutador de Campo,Transportes Acoinsa S.A,Perú,"Callao, Callao",NA,"S/. 1.000,00 (Mensual)","S/. 1.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-reclutador-de-campo-sector-transporte-pesado-en-callao-66700C312B508FCD61373E686DCF3405#lc=ListOffers-Score3-13
Operario de Almacén de Materia Prima,INCA TOPS S.A.,Perú,"Arequipa, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-almacen-de-materia-prima-en-arequipa-0A65E98D5D71A93F61373E686DCF3405#lc=ListOffers-Score3-14
Impulsadores / Con Carnet de Sanidad / Trabaja en Villa el Salvador o Villa Maria del Triunfo,Adecco Perú S.A.,Perú,"Villa Maria Del Triunfo, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-impulsadores-con-carnet-de-sanidad-trabaja-en-villa-el-salvador-o-villa-maria-del-triunfo-planilla-completa-en-villa-maria-del-triunfo-C2F50ADA7BE7751061373E686DCF3405#lc=ListOffers-Score3-15
Trabajo Desde Casa Ingeniero de Software Senior (Node) / Ref. 0111,BairesDev LLC,Perú,"Tacna, Tacna",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-de-software-senior-node-ref-0111-en-tacna-29EE768530CC766B61373E686DCF3405#lc=ListOffers-Score3-16
Trabajo Desde Casa Desarrollador Node Senior / Ref. 0111,BairesDev LLC,Perú,"Juliaca, Puno",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-node-senior-ref-0111-en-juliaca-2494C28C49B0B46961373E686DCF3405#lc=ListOffers-Score3-17
Auxiliar de facturación,Manpower,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-facturacion-rubro-salud-san-isidro-ref-80249-en-lima-9BDEC4F95ABAC9A561373E686DCF3405#lc=ListOffers-Score3-18
Trabajo Desde Casa Desarrollador Java Semi Senior / Ref. 0003,BairesDev LLC,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-java-semi-senior-ref-0003-en-santiago-de-surco-752298C277ECD2F661373E686DCF3405#lc=ListOffers-Score3-19
Trabajo Desde Casa Arquitecto React Frontend / Ref. 0169,BairesDev LLC,Perú,"Iquitos, Loreto",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-arquitecto-react-frontend-ref-0169-en-iquitos-6FE74635A1C73D0961373E686DCF3405#lc=ListOffers-Score3-0
Analista de Marketing,VIP2CARS,Perú,"Los Olivos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-vip2cars-taller-automotriz-los-olivos-analista-de-marketing-estrategicodigital-en-los-olivos-21790E22A28560DC61373E686DCF3405#lc=ListOffers-Score3-1
Trabajo Desde Casa Security Engineer / Ref. 0069,BairesDev LLC,Perú,"Huancan, Junin",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-security-engineer-ref-0069-en-huancan-F3A7717D09769CF261373E686DCF3405#lc=ListOffers-Score3-2
practicante,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,Perú,"Breña, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-contable-en-brena-F690318AA8F845ED61373E686DCF3405#lc=ListOffers-Score3-3
"Cajeros Peak Time 3 dias / Metro Atocongo, Metro Limatambo, Metro Canadá, Metro Gamarra",Cencosud Peru S.A,Perú,"San Juan De Miraflores, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajeros-peak-time-3-dias-metro-atocongo-metro-limatambo-metro-canada-metro-gamarra-con-o-sin-experiencia-en-san-juan-de-miraflores-83E86E252FB5064761373E686DCF3405#lc=ListOffers-Score3-4
Promotor de Ventas para rubro Financiero,Sef Peru Holding SAC,Perú,"Arequipa, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-promotor-de-ventas-para-rubro-financiero-linea-de-carrera-en-arequipa-E293B1E9CB9A040461373E686DCF3405#lc=ListOffers-Score3-5
Asesor Comercial / Entidad Financiera,Sef Peru Holding SAC,Perú,"Arequipa, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-entidad-financiera-horarios-flexibles-en-arequipa-FEEFD5A7675BF27C61373E686DCF3405#lc=ListOffers-Score3-6
¡T R U J I L L O! Asesor Préstamos Convenios BBVA,NA,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-t-r-u-j-i-l-l-o-asesor-prestamos-convenios-bbva-comisiones-altasbonoshorarios-flexibles-en-trujillo-ED31D9A6212B4FFC61373E686DCF3405#lc=ListOffers-Score3-7
¡C H I C L A Y O! Ejecutivo Préstamos por Convenio BBVA,NA,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-c-h-i-c-l-a-y-o-ejecutivo-prestamos-por-convenio-bbva-comisionesbonoshorario-flexiblelinea-de-carrera-en-chiclayo-48EA354ED3F2FAF061373E686DCF3405#lc=ListOffers-Score3-8
Asistente de Operaciones de Afilicación/ Sector Salud/ Remoto,Manpower,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-operaciones-de-afilicacion-sector-salud-remoto-temporal-en-lima-618707FCBF8E318B61373E686DCF3405#lc=ListOffers-Score3-9
Trabajo Desde Casa Desarrollador React Junior/MidLevel / Ref. 0169,BairesDev LLC,Perú,"Piura, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-react-juniormidlevel-ref-0169-en-piura-CFAA6638CDA1F2E661373E686DCF3405#lc=ListOffers-Score3-10
Trabajo Desde Casa Desarrollador Java Junior / Ref. 0003,BairesDev LLC,Perú,"Piura, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-java-junior-ref-0003-en-piura-1975BB7E4FDC0EA461373E686DCF3405#lc=ListOffers-Score3-11
Analista de desarrollo de negocios,Grupo Educa_d,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-desarrollo-de-negocios-en-lima-C414F272B02207CD61373E686DCF3405#lc=ListOffers-Score3-12
Trabajo Desde Casa Desarrollador Java Backend / Ref. 0003,BairesDev LLC,Perú,"Chimbote, Ancash",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-java-backend-ref-0003-en-chimbote-223ABA7C7D73FBBB61373E686DCF3405#lc=ListOffers-Score3-13
Asistente Calidad / Agroindustrial / Certificaciones / Ica / Ref. 75157,Manpower,Perú,"Ica, Ica",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-calidad-agroindustrial-certificaciones-ica-ref-75157-en-ica-FC5F4DEBAB0BF38961373E686DCF3405#lc=ListOffers-Score3-14
Trabajo Desde Casa Ingeniero Python / Ref. 0071,BairesDev LLC,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-python-ref-0071-en-chiclayo-00AFB823A238328361373E686DCF3405#lc=ListOffers-Score3-15
Trabajo Desde Casa Ingeniero Node / Ref. 0111,BairesDev LLC,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-node-ref-0111-en-chiclayo-F07CDD4BD614F54761373E686DCF3405#lc=ListOffers-Score3-16
Trabajo Desde Casa Python Developer / Ref. 0071,BairesDev LLC,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-python-developer-ref-0071-en-chiclayo-14ECCAED3C91922E61373E686DCF3405#lc=ListOffers-Score3-17
Trabajo Desde Casa Desarrollador Node Junior/MidLevel / Ref. 0111,BairesDev LLC,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-node-juniormidlevel-ref-0111-en-chiclayo-E4C010700D93B49461373E686DCF3405#lc=ListOffers-Score3-18
Trabajo Desde Casa Ingeniero Fullstack Node + Nest + React / Ref. 0111,BairesDev LLC,Perú,"Cusco, Cusco",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-fullstack-node-nest-react-ref-0111-en-cusco-FF517521B29ACD8261373E686DCF3405#lc=ListOffers-Score3-19
Trabajo Desde Casa Desarrollador Junior/MidLevel Java / Ref. 0003,BairesDev LLC,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-juniormidlevel-java-ref-0003-en-santiago-de-surco-B9AE2535B0C1E59B61373E686DCF3405#lc=ListOffers-Score3-0
Trabajo Desde Casa Desarrollador Python Junior / Ref. 0071,BairesDev LLC,Perú,"Chachapoyas, Amazonas",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-junior-ref-0071-en-chachapoyas-397CDBBF08B99F3D61373E686DCF3405#lc=ListOffers-Score3-1
Trabajo Desde Casa Power BI / Ref. 0221,BairesDev LLC,Perú,"Chachapoyas, Amazonas",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-power-bi-ref-0221-en-chachapoyas-F4E568954D1AF94B61373E686DCF3405#lc=ListOffers-Score3-2
Trabajador(a) Social / Régimen Atípico 14x7,Manpower,Perú,"Huancayo, Junin",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajadora-social-regimen-atipico-14x7-ancash-en-huancayo-C0F389CEC4704D5F61373E686DCF3405#lc=ListOffers-Score3-3
Trabajo Desde Casa Desarrollador PHP / Ref. 0021,BairesDev LLC,Perú,"Moquegua, Moquegua",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-php-ref-0021-en-moquegua-96E0FC17E5B46B6C61373E686DCF3405#lc=ListOffers-Score3-4
Trabajo Desde Casa Desarrollador Angular Junior / Ref. 0615,BairesDev LLC,Perú,"Juliaca, Puno",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-angular-junior-ref-0615-en-juliaca-E92DC60876D2914461373E686DCF3405#lc=ListOffers-Score3-5
Coordinador (a) de Transporte/Agencias Terrestres/ Trabajo de Campo / Villa el Salvador / Ref. 80335,Manpower,Perú,"Villa El Salvador, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-a-de-transporteagencias-terrestres-trabajo-de-campo-villa-el-salvador-ref-80335-en-villa-el-salvador-CF3DB7E9A3872F1761373E686DCF3405#lc=ListOffers-Score3-6
Ejecutivos de Ventas! Area de Portabilidad Trabaja Remoto! Turno Mañan! 8Am! Planila Completa! +1500,NA,Perú,"Lima, Lima",NA,"S/. 1.600,00 (Mensual)","S/. 1.600,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivos-de-ventas-area-de-portabilidad-trabaja-remoto-turno-manan-8am-planila-completa-1500-desde-casa-sueldo-fijo-comisiones-ilimitadas-en-lima-15DA50A0F83DE86A61373E686DCF3405#lc=ListOffers-Score3-7
Practicante Profesional Administración y Finanzas,INSTITUTO DE GAMMA KNIFE DEL PACIFICO SAC,Perú,"Lince, Lima",NA,"S/. 1.130,00 (Mensual)","S/. 1.130,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-administracion-y-finanzas-en-lince-9D93C38B65B90B7861373E686DCF3405#lc=ListOffers-Score3-8
Auxiliar de control de producción / Planta de Alimentos – Lurín,Tiendas Tambo,Perú,"Lurin, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-control-de-produccion-planta-de-alimentos-lurin-en-lurin-DFA8BC749D7801C261373E686DCF3405#lc=ListOffers-Score3-9
Area de Ventas! Home Office! Solicitamos 75 Teleoperadores Area de Ventas! Planilla Completa +1500,NA,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-area-de-ventas-home-office-solicitamos-75-teleoperadores-area-de-ventas-planilla-completa-1500-en-lima-D14B49FB7D63CACA61373E686DCF3405#lc=ListOffers-Score3-10
Técnica(o)s de Farmacia para el Rimac,Grupo Intercorp,Perú,"Rimac, Lima",NA,"S/. 1.150,00 (Mensual)","S/. 1.150,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicaos-de-farmacia-para-el-rimac-en-rimac-8EEDD1291B6EEBD561373E686DCF3405#lc=ListOffers-Score3-11
