company,id,link,location,salary,snippet,source,title,type,updated
Mibanco - PE,1045111300571810177,https://es.jooble.org/jdp/1045111300571810177,Peru,,"¡Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial! 
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,Analista de Productos Activos,,2025-07-08T11:46:59.3241662+00:00
Mibanco - PE,-2206776596167358849,https://es.jooble.org/jdp/-2206776596167358849,Peru,," Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,Gerente de Modelos de Riesgo,,2025-04-16T00:51:13.0247075+00:00
Mibanco - PE,-4197073001953130791,https://es.jooble.org/jdp/-4197073001953130791,Peru,,"¡Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,ANALISTA SENIOR DE PLANEAMIENTO DE SOLUCIONES FINANCIERAS,,2025-06-12T18:51:33.7106359+00:00
Sky Airline,2280819255463625227,https://es.jooble.org/jdp/2280819255463625227,Peru,,"¿Estás listo para hacer despegar tu carrera profesional y tomar un desafío  UNIKO  que te permita demostrar tus conocimientos? ¡ SKY  es para ti! Somos una compañía de personas correctas, valientes, cercanas y comprometidas que busca jóvenes profesionales listos para poner...",genoma.work,Práctica Aeropuertos Internacionales,,2025-07-10T12:51:41.9726890+00:00
Jockey Plaza Perú,3800144236917283192,https://es.jooble.org/jdp/3800144236917283192,Peru,," Misión:  Brindar soporte administrativo en el proceso de compra al área de logística con el objetivo de garantizar las necesidades de los clientes internos. una sólida orientación al servicio, alto sentido de responsabilidad en sus funciones y una visión innovadora de ...",genoma.work,Practicante Profesional de Logistica,,2025-07-11T00:51:46.7076444+00:00
Mibanco - PE,-6157113917337948671,https://es.jooble.org/jdp/-6157113917337948671,Peru,," En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el encontramos en búsqueda de una persona apasionada, analítica y con grandes ideas para impactar en la vida de los micro y pequeños empresarios del país incorporándose a nuestro equipo como...",genoma.work,Gerente/a de Seguridad Ofensiva,,2025-06-22T00:51:49.7826691+00:00
Mibanco - PE,-6684255056637691353,https://es.jooble.org/jdp/-6684255056637691353,Peru,,"¡Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos que se atreven a progresar. Por ello...",genoma.work,Especialista de CRM,,2025-07-11T00:51:46.3826133+00:00
Lima Airport Partners,3876879871221910902,https://es.jooble.org/jdp/3876879871221910902,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Practicante Profesional de Planeamiento de Operaciones,,2025-06-29T00:51:14.0793945+00:00
Mibanco - PE,-5775528133654123411,https://es.jooble.org/jdp/-5775528133654123411,Peru,," Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,Practicante de Gestión de Procesos y Mejora Continua,,2025-06-20T00:51:13.8582181+00:00
Lima Airport Partners,7716042880017891679,https://es.jooble.org/jdp/7716042880017891679,Peru,," Somos el administrador del Aeropuerto Internacional Jorge Chávez.  En Lima Airport creemos en las personas y en el poder de la diversidad. Estamos comprometidos con ofrecer igualdad de oportunidades y promover un ambiente donde cada talento pueda crecer, ser escuchado ...",genoma.work,Project Controls Analyst,,2025-07-11T00:51:46.2725708+00:00
