puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,TRUST CONSULTING,,,
Ejecutivo Ventas Software,T.G.A. INTEGRAL CARGO SOLUTION E.I.R.L.,,,
Ejecutivo Ventas Software,Provision 2000 sac,,,
Ejecutivo Ventas Software,Corporacion New Age,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,"S/. 1.000,00 (Mensual)"
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Adecco Perú S.A.,,,
Ejecutivo Ventas Software,Grupo Proterra SAC,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,Grupo AUNA,,Presencial y remoto,
Ejecutivo Ventas Software,Verisure Peru SAC,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,YT GROUP,,Presencial y remoto,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,CORPORACION COMERCIAL Y SERVICIOS OCOSHI S.A.C.,,,"S/. 3.000,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,Increxa,,,"S/. 1.200,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,Increxa,,,
Ejecutivo Ventas Software,Giga Fibra SAC,,,
Ejecutivo Ventas Software,TOUCH DATA S.A.C.,,Presencial y remoto,"S/. 1.500,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,,,,
Ejecutivo Ventas Software,FALABELLA CORPORATIVO PERÚ,,,
Ejecutivo Ventas Software,Adecco Perú S.A.,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,GRUPO BLMG SAC,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,
Ejecutivo Ventas Software,Alimentos de Exportacion SAC,,,
Ejecutivo Ventas Software,Adecco Perú S.A.,,,
Ejecutivo Ventas Software,,,,
Ejecutivo Ventas Software,GRUPO SERGIN S.A.C.,,,
Ejecutivo Ventas Software,,,,
Ejecutivo Ventas Software,Grupo AUNA,,Presencial y remoto,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,,,,"S/. 2.500,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,INVERSIONES MILENIUM,,,"S/. 1.300,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,FALABELLA CORPORATIVO PERÚ,,,
Ejecutivo Ventas Software,Pos Solutions S.A.C.,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,Huemura SAC,,,
Ejecutivo Ventas Software,Tunupa Restaurantes,,,
Ejecutivo Ventas Software,Clinica Internacional SA,,,
Ejecutivo Ventas Software,Promafa s.a.c.,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,YT GROUP,,,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,PERUVIAN SUNRISE,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,ATIEMPO TELESERVICIOS JIT E.I.R.L.,,,
Ejecutivo Ventas Software,CBC PERUANA,,,
Ejecutivo Ventas Software,Alimentos de Exportacion SAC,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,Fosforera Peruana SA,,,
Ejecutivo Ventas Software,Verisure Peru SAC,,,
Ejecutivo Ventas Software,,,,"S/. 5.000,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,Pos Solutions S.A.C.,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,Grupo AUNA,,Presencial y remoto,
Ejecutivo Ventas Software,CBC PERUANA,,,
Ejecutivo Ventas Software,INSIGHT CONSULTORIA CLINICA Y ORGANIZACIONAL,,Presencial y remoto,"S/. 2.000,00 (Mensual)"
