puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Supervisor Mantenimiento Vehicular,Bitel,,,1500.0
Supervisor Mantenimiento Vehicular,TRANSPORTES N&V SAC,,Presencial y remoto,
Supervisor Mantenimiento Vehicular,Bitel,,,1500.0
Supervisor Mantenimiento Vehicular,CAMAL FRIGORIFICO YERBATEROS SAC,,,1200.0
Supervisor Mantenimiento Vehicular,Multicosailor SAC,,,
Supervisor Mantenimiento Vehicular,Grupo San Pablo,,,
Supervisor Mantenimiento Vehicular,MARIPOSA ANDINA,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,QF Farmacia Magistral,,,
Supervisor Mantenimiento Vehicular,Importadora y Exportadora Doña Isabel E.I.R.L.,,,
Supervisor Mantenimiento Vehicular,Grones Sac,,,
Supervisor Mantenimiento Vehicular,Grupo Pacasmayo,,,
Supervisor Mantenimiento Vehicular,MODASA,,,
Supervisor Mantenimiento Vehicular,MARIPOSA ANDINA,,,
Supervisor Mantenimiento Vehicular,A & S SYSTEMS CONTROL S.A.C.,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,Gpem Sac,,,1130.0
Supervisor Mantenimiento Vehicular,TRANSPORTES WILLIAM EIRL,,,
Supervisor Mantenimiento Vehicular,Grupo Tawa,,,
Supervisor Mantenimiento Vehicular,Grupo Pacasmayo,,,
Supervisor Mantenimiento Vehicular,Hoteles Radisson - Decameron,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,Grupo Pacasmayo,,,
Supervisor Mantenimiento Vehicular,GRUPO NATIONAL S.A.,,,
Supervisor Mantenimiento Vehicular,Grones Sac,,,
Supervisor Mantenimiento Vehicular,CLINICA PERUANO SUIZA,,,
Supervisor Mantenimiento Vehicular,PEVOEX Contratistas S.A.C.,,,
Supervisor Mantenimiento Vehicular,TRANSPORTES SAN ALEJANDRO S.A.C.,,,2300.0
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,INTURSA,,,
Supervisor Mantenimiento Vehicular,Multicosailor SAC,,,4500.0
Supervisor Mantenimiento Vehicular,Sodexo Perú S.A.C.,,,3200.0
Supervisor Mantenimiento Vehicular,SECURITAS SAC,,,2200.0
Supervisor Mantenimiento Vehicular,Adecco Perú S.A.,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,KBN CELER,,Presencial y remoto,2500.0
Supervisor Mantenimiento Vehicular,Grupo Corfamet Peru Sac,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,Turismo JAKSA,,,
Supervisor Mantenimiento Vehicular,Grupo San Pablo,,,
Supervisor Mantenimiento Vehicular,Empower,,,2500.0
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,Adecco Perú S.A.,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,LADY PLAST,,,
Supervisor Mantenimiento Vehicular,SULLAIR,,,
Supervisor Mantenimiento Vehicular,IHI PERU S.A.C.,,,
Supervisor Mantenimiento Vehicular,Metrica Direccion Integral de Proyectos SAC,,,
Supervisor Mantenimiento Vehicular,Sodexo Perú S.A.C.,,,
Supervisor Mantenimiento Vehicular,Overall Strategy,,,1450.0
Supervisor Mantenimiento Vehicular,Grupo San Pablo,,,
Supervisor Mantenimiento Vehicular,Consorcio LP,,,1130.0
Supervisor Mantenimiento Vehicular,Turismo JAKSA,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,Grupo Tawa,,,
Supervisor Mantenimiento Vehicular,Country Club de Villa A. C.,,,1130.0
Supervisor Mantenimiento Vehicular,Grupo Tawa,,,
Supervisor Mantenimiento Vehicular,Grupo Intercorp,,,
Supervisor Mantenimiento Vehicular,Bitel,,,1500.0
Supervisor Mantenimiento Vehicular,Rico Pollo S.A.C.,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,Jaime Pesaque Restaurant,,,
Supervisor Mantenimiento Vehicular,AVA SPOT,,,
Supervisor Mantenimiento Vehicular,Bigmond Group,,,
Supervisor Mantenimiento Vehicular,PEVOEX Contratistas S.A.C.,,,
Supervisor Mantenimiento Vehicular,SECURITAS SAC,,,2200.0
Supervisor Mantenimiento Vehicular,Limtek Servicios Integrales,,,1800.0
Supervisor Mantenimiento Vehicular,MODASA,,,
Supervisor Mantenimiento Vehicular,,,,
Supervisor Mantenimiento Vehicular,KBN CELER,,Presencial y remoto,2500.0
Supervisor Mantenimiento Vehicular,PROYECTOSJJ,,,900.0
Supervisor Mantenimiento Vehicular,Grupo Pacasmayo,,,
Supervisor Mantenimiento Vehicular,2 SISCOM S.A.C.,,,1900.0
Supervisor Mantenimiento Vehicular,TRANSPORTES SAN ALEJANDRO S.A.C.,,,2300.0
Supervisor Mantenimiento Vehicular,RYSBEN,,,2500.0
Supervisor Mantenimiento Vehicular,Industrias Nettalco S.A.,,,
Atencion Cliente 1400,Adecco Perú S.A.,,,
Atencion Cliente 1400,Grupo Tawa,,,
Atencion Cliente 1400,R&V,,,1130.0
Atencion Cliente 1400,Adecco Perú S.A.,,,
Atencion Cliente 1400,Adecco Perú S.A.,,,
Atencion Cliente 1400,Konecta,,,1130.0
