puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Otro,Trabajo Desde Casa Delivery Manager / Ref. 0338,No disponible,No disponible,
Otro,Practicante Profesional de Programación / Desarrollo de Software,No disponible,No disponible,
Otro,Operador de Centro de Control / Régimen General / Chorrillos / Turnos Rotativos,No disponible,No disponible,
Otro,Enfermero(a) en Dx de Imágenes  Consulta Externa Clínica Delgado,No disponible,No disponible,
Otro,Digitador (a) turno mañana / Digitador (a) turno noche,No disponible,No disponible,
Otro,Técnico de Sistemas Contra Incendios,No disponible,No disponible,
Otro,Técnico de Sistemas Contra Incendios con AFEX,No disponible,No disponible,
Otro,Asistente de Facturación y Cobranzas,No disponible,No disponible,
Desarrollador de Software,Analista programador Fullstack,No disponible,No disponible,
Otro,Asesor de Negocios / Sede Ica,No disponible,No disponible,
Otro,Asesor de Negocios  / Sede Tingo María,No disponible,No disponible,
Otro,Asesor de Negocios  / Sede Cerro de Pasco,No disponible,No disponible,
Otro,Asesor de Negocios  / Sede Chupaca,No disponible,No disponible,
Otro,Científico de Datos/experiencia en MINA/Titulado/inglés intermedio,No disponible,No disponible,
Otro,Analista de salud ocupacional / UM 14X7,No disponible,No disponible,
Otro,Asistente Administrativo Comercial,No disponible,No disponible,
Otro,Auxiliar de Almacén  / Empresa Alimentos,No disponible,No disponible,
Otro,Asesores de Call Center con o sin experiencia / Sueldo fijo de s/. 1600 al mes + bonificaciones,No disponible,No disponible,
Otro,Auxiliar de Almacén  / Empresa Alimentos,No disponible,No disponible,
Otro,Auxiliar de Telecomunicaciones / La Victoria / Híbrido,No disponible,Presencial y remoto,
Soporte Técnico,Practicante de soporte tecnico,No disponible,No disponible,
Otro,¡Atención Lima ! Se requiere Vendedores Movistar en Campo / Líneas Móvil  ¡Planilla Completa!,No disponible,No disponible,
Otro,Auxiliar Basc,No disponible,No disponible,
Otro,Asistente de Sistemas,No disponible,No disponible,
Otro,Asesores de Venta / Chat y Llamadas / Comisiones + Bonos Diarios y Semanales,No disponible,No disponible,
Otro,Asistente de costos,No disponible,No disponible,
Otro,Auxiliar de procesamiento de datos/ Excel Intermedio/ San Isidro,No disponible,No disponible,
Otro,Recepcionista para Clínica Dental,No disponible,No disponible,
Otro,Asistente  administrativa/Cajero para Restaurante Barranco,No disponible,No disponible,
Analista de Negocio,Trabajo Desde Casa Analista de Negocios / Ref. 0031,No disponible,No disponible,
Otro,Asistente de Almacén,No disponible,No disponible,
Soporte Técnico,Auxiliar de Help Desk / San Martin de porres,No disponible,No disponible,
Otro,Auxiliar de Servicios,No disponible,No disponible,
Otro,Coordinador(a) de Soporte Técnico/ Villa el Salvador,No disponible,No disponible,
Otro,Operador de Base de Datos,No disponible,No disponible,
Otro,¡Trabaja como Asesor de Ventas Ecommerce! ¡Capacitaciones cortas! ¡Bonos Diarios y Semanales!,No disponible,No disponible,
Otro,Asistente de Almacén / Villa El Salvador,No disponible,No disponible,
Otro,Buscamos Pusher de Ventas,No disponible,No disponible,
Desarrollador de Software,Trabajo Desde Casa Desarrollador ASP.NET / Investigación y Desarrollo / Ref. 0001,No disponible,No disponible,
Otro,BCP /Operador de Canales electronicos II / Lima / Chorrillos,No disponible,No disponible,
Otro,Capitán de mozos y Jefe de restaurante,No disponible,No disponible,
Otro,ingeniero especialista,No disponible,No disponible,
Otro,Operario de montacarga con brevete A1,No disponible,No disponible,
Otro,Requerimos Técnicos en Farmacia!!!!,No disponible,No disponible,
Otro,"Operario de Almacen en Congelados / S/.1525,50",No disponible,No disponible,
Otro,Asistente de Proyectos de Innovación TI,No disponible,No disponible,
Otro,Analista de Soporte de implementacion de sistemas,No disponible,Presencial y remoto,
Otro,Gerente de Tecnología de la Información,No disponible,No disponible,
Otro,Analista de Infraestructura / TI / Callao,No disponible,No disponible,
Otro,Especialista de Mantenimiento de Sistemas,No disponible,No disponible,
Otro,Analista de Soporte Ténico (TI),No disponible,No disponible,
Otro,Ayudantes de almacén (Punta Hermosa),No disponible,No disponible,
Otro,Facilitador de Desarrollo,No disponible,No disponible,
Otro,Coordinador de Seguridad y Salud en el Trabajo,No disponible,No disponible,
Otro,Coordinador de Analítica Estratégica de Talento Humano (Agroindustria Ica),No disponible,No disponible,
Otro,Coordinador(a) de mantenimiento electromecánico,No disponible,No disponible,
Otro,Supervisor de Seguridad Zonal / Licencia de conducir de Auto y de Moto,No disponible,No disponible,
Analista BI,Especialista en Business Intelligence para Gestión Humana (Ica),No disponible,No disponible,
Otro,Asistente BI – SQL Avanzado(automatización datos),No disponible,No disponible,
Otro,"Técnico de Mantenimiento/Peaje Sur/ MT, BT Y SED",No disponible,No disponible,
Otro,Asistente de Operaciones,No disponible,No disponible,
Otro,Practicante de Administración de base de datos/ Dominio de SQL Intermedio,No disponible,No disponible,
Analista Funcional,Analista de sistemas SAP 4 en Salamanca,No disponible,No disponible,
Otro,Asistente de Sistemas,No disponible,No disponible,
Otro,Auxiliar de control de acceso  Callao,No disponible,No disponible,
Otro,Personal de mantenimiento varios,No disponible,No disponible,
Otro,Practicante profesional de TI,No disponible,No disponible,
Otro,Asistente de Procesos/Gestión de indicadores/ Rubro Inmobiliario,No disponible,No disponible,
Otro,Asistente técnico,No disponible,No disponible,
Otro,Gestor de Cobranza Moyobamba,No disponible,No disponible,
Otro,Gestor de Cobranza Chachapoyas,No disponible,No disponible,
Desarrollador de Software,Desarrollador de Aplicaciones Android / Arequipa,No disponible,Presencial y remoto,
Otro,Gestor de Soluciones de Negocio,No disponible,No disponible,
Otro,"Escoge tu horario! Buscamos asesores comerciales! atc + ventas, gana hasta S/2000 + bonos ilimitados",No disponible,No disponible,
Otro,"¡Buscamos asesores comerciales, elige tu horario! !atc + ventas, gana hasta S/2000 + bonosilimitados",No disponible,No disponible,
Otro,Técnico (a) de toma de muestra con experiencia procesamiento de análisis clínicos,No disponible,No disponible,
Otro,Asistente de TI Soporte,No disponible,No disponible,
Otro,Asistente de Digitación de Almacén,No disponible,No disponible,
Otro,médico/a asistencial,No disponible,Presencial y remoto,
Otro,Soporte Técnico Junior / Call Center / San Juan de Lurigancho,No disponible,No disponible,
Otro,Supervisor/a de Limpieza,No disponible,No disponible,
Otro,Asistente de Ti Infraestructura para Empresa de Transporte de Carga Pesada,No disponible,No disponible,
Otro,Auxiliar de Control Patrimonial/Huachipa/Planilla y Beneficios Sociales Completos,No disponible,No disponible,
Desarrollador de Software,Ingeniero de Desarrollo/ Desarrollador Web / Experiencia en IA,No disponible,No disponible,
Otro,Operario de Almacén/ Lurin/ Horario fijo,No disponible,No disponible,
Otro,Soporte Técnico Nivel 2,No disponible,No disponible,
Otro,Soporte Técnico Nivel 2 (Andahuaylas),No disponible,No disponible,
Otro,Jefe de TI / Rubro Logistica,No disponible,No disponible,
Otro,auxiliar soporte técnico,No disponible,No disponible,
Otro,Asistente de TI,No disponible,No disponible,
Otro,Técnico de Automatización Industrial,No disponible,No disponible,
Otro,Content Manager / Community Manager,No disponible,No disponible,
Otro,Auxiliar de Sistemas,No disponible,Presencial y remoto,
Otro,Jefe de ventas  Consumo Masivo,No disponible,No disponible,
Otro,Reclutador de Oficina,No disponible,No disponible,
Otro,Prevencionista de riesgos,No disponible,No disponible,
Otro,Asistente legal Empresarial,No disponible,No disponible,
Desarrollador de Software,Programador. NET,No disponible,Presencial y remoto,
Otro,Encargado de Almacén / Iquitos,No disponible,No disponible,
Otro,Urgente Técnico Químico / Sueldo S/1710 / Alimentación / Movilidad / Horas Extras / Lurín KM 40,No disponible,No disponible,
Otro,Asistente de soporte técnico,No disponible,No disponible,
Otro,Asistente de soporte técnico N2 / La Victoria,No disponible,No disponible,
Otro,Admisionista Ambulatorio / Clínica San Juan Bautista (Grupo San Pablo),No disponible,No disponible,
Otro,Asistente In House /  Cercado de Lima,No disponible,No disponible,
Otro,Asistentes administrativos con experiencia en restaurantes/ Zona Sur,No disponible,No disponible,
Otro,Asistente de Ventas Repuestos,No disponible,No disponible,
Otro,Jefe Almacén de productos terminados,No disponible,No disponible,
Otro,Especialista de sistemas y soporte Técnico / Independencia,No disponible,No disponible,
Otro,Busser/Corredor Full Time,No disponible,No disponible,
Otro,Analista Soporte Técnico TI en rubro Call Center / Santiago de Surco,No disponible,No disponible,
Otro,Asistente SAP,No disponible,No disponible,
Otro,Especialista técnico People Soft,No disponible,Presencial y remoto,
Otro,Almacenero/a  Ferretero Turno Mañana/Noche,No disponible,No disponible,
Otro,Técnico Mecánico,No disponible,No disponible,
Otro,Líder de Operaciones,No disponible,No disponible,
Otro,Líder de Almacen,No disponible,No disponible,
Otro,Líder de Operaciones,No disponible,No disponible,
Otro,Operador de Maquina / Calibradora Maf Roda,No disponible,No disponible,
Otro,Supervisor de Maquina  / Calibradora Maf Roda,No disponible,No disponible,
Otro,Soporte TI,No disponible,No disponible,
Desarrollador de Software,Desarrollador RPA,No disponible,No disponible,
Otro,Responsable de sistemas de informacion,No disponible,No disponible,
Desarrollador de Software,Analista Programador Full Stack,No disponible,Presencial y remoto,
Otro,Analista de QA,No disponible,No disponible,
Desarrollador de Software,Programador (Temporal),No disponible,No disponible,
Otro,Auxiliar de Telecomunicaciones / La Victoria / Híbrido,No disponible,Presencial y remoto,
Otro,Asistente de Operaciones,No disponible,No disponible,
Otro,Docente de Desarrollo de Sistema de Información / Interconexión de Redes,No disponible,No disponible,
Desarrollador de Software,Analista Programador Fullstack  Junior,No disponible,No disponible,
Otro,Supervisor de Operaciones,No disponible,No disponible,
Arquitecto de Datos,Arquitecto de Datos,No disponible,Presencial y remoto,
Otro,Asistente de TI,No disponible,No disponible,
Otro,Docente de Historia y Ciencias Sociales  Colegio Zárate,No disponible,No disponible,
Otro,Analista de Infraestructura Cloud,No disponible,Presencial y remoto,
Otro,Ate: Diseñador Mecánico,No disponible,No disponible,
Desarrollador de Software,Programador (Temporal),No disponible,No disponible,
Otro,Jefe de Tienda,No disponible,No disponible,
Otro,Analista de costos Contable,No disponible,No disponible,
Otro,Agente de Seguridad con experiencia en CCTV.Piura,No disponible,No disponible,
Otro,Operador de base datos Oracle / Planilla Completa,No disponible,Presencial y remoto,
Otro,Trabajo Desde Casa Analista de Soporte de TI / Ref. 0080,No disponible,No disponible,
Otro,BCP / Asesor Outbound IO Senior,No disponible,No disponible,
Otro,Técnico de Mantenimiento / Unid. Minera Antamina,No disponible,No disponible,
Otro,Asistente  administrativa/Cajero para Restaurante Barranco,No disponible,No disponible,
Otro,Técnico de Mantenimiento / Residir en Lima,No disponible,No disponible,
Otro,Técnico de Mantenimiento / Residir en Lima,No disponible,No disponible,
Otro,Técnico de Mantenimiento,No disponible,No disponible,
Otro,Asesor de Negocios / Chincha,No disponible,No disponible,
Otro,Trabajo Desde Casa Ingeniero ETL / Ref. 0339,No disponible,No disponible,
Otro,Técnico de Sistemas Contra Incendios con AFEX,No disponible,No disponible,
Otro,Técnico de Sistemas Contra Incendios,No disponible,No disponible,
Otro,Supervisor(a) de Cajas Tienda Tottus Canta Callao,No disponible,No disponible,
Otro,Ayudante de Mantenimiento,No disponible,No disponible,
Otro,Mecánico de Mantenimiento / Planta Textil,No disponible,No disponible,
Desarrollador de Software,Programador de sistemas,No disponible,No disponible,
Analista de Negocio,Trabajo Desde Casa Analista de Negocios / Ref. 0031,No disponible,No disponible,
Desarrollador de Software,Trabajo Desde Casa Desarrollador ASP.NET / Investigación y Desarrollo / Ref. 0001,No disponible,No disponible,
Otro,Financiera oh! Ejecutivo de Ventas Plaza Vea Ilo/ Part time o Full Time,No disponible,No disponible,
Otro,Financiera oh! Se requiere Ejecutivo de Ventas Plaza Vea Ica,No disponible,No disponible,
Desarrollador de Software,Analista Programador / Miraflores / Inglés Intermedio,No disponible,No disponible,
Otro,Operario Mecánico (Ayacucho),No disponible,No disponible,
Otro,Técnicos Instaladores FTTH/HFC Altas,No disponible,No disponible,
Otro,Oficial Mecánico (Ayacucho),No disponible,No disponible,
Otro,Asistente de Almacén / Villa El Salvador,No disponible,No disponible,
Otro,"Técnico de mantenimiento para Arequipa / Sueldo S/2,103 + S/300 de movilidad",No disponible,No disponible,
