puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
"Auxiliar operativo, Gestión de Inventarios",CICSA PERU S.A.C.,,,
Asesor de Negocios  Yurimaguas,CAJA TRUJILLO,,,
Asistente Textil ventas y catalogo  horario de oficina de Lunes a Viernes,Estilos S.R.L.,,,
Asesor de Negocios  Rodríguez de Mendoza,CAJA TRUJILLO,,,
Gestor de Cobranza Chachapoyas,CAJA TRUJILLO,,,
Asesor de Negocios: Chachapoyas,CAJA TRUJILLO,,,
Analista de Planficacion de Transporte/Arequipa/Consumo Masivo,GRUPO VALLENORTE,,,
Mercaderista / Merchandiser de Telefonía ZTE / IR Market / Chiclayo,Overall Strategy,,,
Asesor de Cobranzas (Magdalena),Los Portales,,,
Analista/Asistente Legal Notarial y Registral / Miraflores,Manpower,,Presencial y remoto,
Practicante Pre Profesional de reclutamiento y selección,SAFE LOGISTICA E.I.R.L,,,
"Practicante Comercial  Callao, Bellavista, independencia, Comas o Los olivos",SAFE LOGISTICA E.I.R.L,,,
Jefe(a) de Almacén y Despacho / Rubro Industrial / Lurin,Manpower,,,
Asistente de márketing Digital Meta Google Tiktok Ads Analytics SEO SEM Mailing,Achorao,,,
"Escoge tu horario! Buscamos asesores comerciales! atc + ventas, gana hasta S/2000 + bonos ilimitados",CALLYPSO PERU S.A.C.,,,
"¡Buscamos asesores comerciales, elige tu horario! !atc + ventas, gana hasta S/2000 + bonosilimitados",CALLYPSO PERU S.A.C.,,,
Nuevo Tambo Surquillo (Republica de Panamá) / (Atención al cliente / Tiempo completo),Tiendas Tambo,,,
Tambo (Administrador de Tienda) Entrevista Virtual / Vacantes en San Martín de Porres / Los Olivos,Tiendas Tambo,,,
Tambo (Administrador de Tienda) Entrevista Virtual / Vacantes en SJM/VES/Surco/Chorrillos/Barranco,Tiendas Tambo,,,
"Tambo (Administrador de Tienda) Entrevista Virtual / Vacantes en Magdalena, Lince, Pueblo Libre",Tiendas Tambo,,,
Planner de Logística,Newport Capital SAC,,,
Operadores de CCTV,Newport Capital SAC,,,
Asesor(a) de ventas campo/Huancayo/S./1530 + Comisiones ilimitadas.,Gedk Telecomunicaciones,,,
Supervisor de campo con equipo de ventas Huancayo,Gedk Telecomunicaciones,,,
¡Iquitos! Asesor de Ventas Scotiabank,,,,
Urgente! Supervisor de Call Center C/ Experiencia,,,,
Asistente De Ecommerce,Calzados Mikaela,,,
Escuela de Analista de créditos / Ag. Aguaytia,CAJA AREQUIPA,,,
Escuela de Analista de créditos / Ag. Pichanaki,CAJA AREQUIPA,,,
Escuela de Analista de créditos / Arequipa norte,CAJA AREQUIPA,,,
Escuela de Analista de créditos / Tambopata,CAJA AREQUIPA,,,
Escuela de Analista de créditos / Ag. Urubamba,CAJA AREQUIPA,,,
Asesores de Negocios / Planilla BBVA,TRUST CONSULTING,,,
Asesor/a de call center (ventas) en Makro Surco,Grupo Intercorp,,,
Agente de atención al cliente,,,,
Técnico (a) de toma de muestra con experiencia procesamiento de análisis clínicos,Berman Lab,,,
Asistente de TI Soporte,Grupo San Pablo,,,
Ejecutivo Comercial,Grupo San Pablo,,,
Analista Jr. de Reclutamiento y selección / área Trade Marketing ( Rubro tecnológico),Overall Strategy,,Presencial y remoto,
Analista de costos financieros,Muebles Huarcaya,,,
Mystery Shopper c/ experiencia canal Moderno / Todo Lima,,,,
Asesores de Venta / Call Center / Part Time,QUEIPO´S S.A.C.,,,
Asesores Call Center / Ventas / Trabajo en oficina,QUEIPO´S S.A.C.,,,
Asistente de Transporte y Obras Civiles,PROYECTOS LA PATAGONIA SOCIEDAD ANONIMA CERRADA - PROYECTOS LA PATAGONIA S.A.C.,,,
médico/a asistencial,SINDICATO NACIONAL DE EMPLEADOS PUBLICOS DE LA MARINA DE GUERRA DEL PERU SINEP-MAR,,Presencial y remoto,
responsable de contabilidad,AyB International S.A.C,,,
Operario de Limpieza Villa El Salvador Turno Tarde,EULEN del Perú,,,
Auxiliar de Despacho Aduanero Callao,Interamerican Service Co S.A.C,,,
Asesores de ventas Movistar / Barranca/ salario fijo + comisiones ilimitadas,Gedk Telecomunicaciones,,,
Asistente de Ti Infraestructura para Empresa de Transporte de Carga Pesada,,,,
Analista SR de Inteligencia Comercial//Camacho,Adecco Perú S.A.,,Presencial y remoto,
Supervisor comercial,Grupo San Pablo,,,
Maestro Electricista de Volquete y Maquinaria Pesada/ VMT Lima 6x 1 / Planilla Completa,San Martin Contratistas Generales S.A,,,
Asesor Comercial Entidad Financiera Pisco,Sef Peru Holding SAC,,,
Clasificado por Reglas,TRUSTCORP SAC,,,
Analista de Crédito con Experiencia / Arequipa,CAJA AREQUIPA,,,
Analista de Crédito con Experiencia / Cono Norte  Arequipa,CAJA AREQUIPA,,,
Ejecutiva de Ventas B2B,MYPER SOCIEDAD ANONIMA CERRADA - MYPER S.A.C.,,Presencial y remoto,
Analista Programador NetCore Junior,MYPER SOCIEDAD ANONIMA CERRADA - MYPER S.A.C.,,Presencial y remoto,
Analista de Crédito con Experiencia / Arequipa Ciudad,CAJA AREQUIPA,,,
Asistente de Marketing / Audiovisual,KI VA MOED E.I.R.L.,,,
Ejecutivo(a) Comercial Corporativo,CREATALENTO,,Presencial y remoto,
Jefe de Finanzas y Contabilidad (Contador Colegiado),GRUPO CARRILLO ROYALTY S.A.C,,,
Atención al cliente/Promotor de servicios s/1700 planilla. Lima,Andrick Consultores,,,
Operario de Limpieza Villa El Salvador,EULEN del Perú,,,
Admisionista de Emergencia,CLINICA MONTEFIORI,,,
Asesora Comercial,CONCIEZA E.I.R.L.,,Presencial y remoto,
auxiliar soporte técnico,CHAN CHAN AMARYL S.A.C,,,
Asistente de TI,Newport Capital SAC,,,
Analista de Soporte de Aplicaciones y BD,Consulting Advisers,,,
Cencosud derivacion / full remoto 5horas // comisiones ilimitadas,QUBOS,,,
"Vendedor de tienda retail, La victoria (REF.65312)",Manpower,,,
"Asistente de Costos y Presupuesto, Agro, Ica",El Pedregal,,,
Auxiliar de Reparto,COMERCIO DE GRANOS PERU S.A.C.,,,
Topógrafo// Régimen 14x7 // Mina,Lavoro Perú,,,
Topógrafo// Arequipa // Régimen 14x7 // Mina,Lavoro Perú,,,
Analista comercial,EXPERTISE PERÚ,,,
Asistente Control Bancario,Lukear S.A.C,,Presencial y remoto,
Enfermero/a de UCI Adultos,Grupo San Pablo,,,
!Teleoperador Capta donaciones y comisionas + descansa domingos y feriados!,,,,
Técnico o Ingeniero Textil,,,,
Coordinador de Ingeniería,,,,
Ejecutivo comercial,MOTORLINK S.A.C.,,,
Técnico electricista de campo / Técnico telecomunicaciones con brevete A1,Total Talent Human Resources,,,
Ejecutivo comercial,MOTORLINK S.A.C.,,,
Ejecutivo Senior de cuentas corporativas,MOTORLINK S.A.C.,,,
Ejecutivo de créditos vehiculares y seguros,MOTORLINK S.A.C.,,,
Técnico de telecomunicaciones con brevete A1,Total Talent Human Resources,,,
Asesor Call/Solo Lunes a Viernes/Centro de Lima/Horario 6am a 3pm/Sueldo Fijo S/1500/SIN EXP/Planill,Grupo Expro,,,
Auxiliar de Sistemas,Bissú Accesorios,,Presencial y remoto,
Auxiliar de Finanzas,Corrales Center S.A.C.,,,
Vendedor campo,MOLINERA Y DISTRIBUIDORA SAN CARLOS E.I.R.L.,,,
Asistente contable – facturación,PEREZ PRUDENCIO MELANY ELIZABETH,,,
Practicante Técnico de Mecánica Automotriz,Industrias Triveca S.A.C.,,,
¡Asesor de Crédito Grupal Semanal / Sullana! Sueldo fijo + Movilidad + Altas comisiones,COOPAC Santa Isabel,,,
Asesor de Negocios Grupal / Piura / Sueldo fijo + Altas comisiones + Movilidad,COOPAC Santa Isabel,,,
¡Asesor de créditos Chulucanas! Sueldo Fijo + EPS + Incentivos,COOPAC Santa Isabel,,,
Asesor de créditos grupal  / La Unión / Sueldo fijo + Altas comisiones + Movilidad,COOPAC Santa Isabel,,,
Supervisor de Control de Calidad,,,,
¡Te estamos buscando! Promotor (ra) fines de semana// Trujillo// Audio,Soporte Promocional SAC,,,
Operador Maquinista Técnico de Soplado /Planta Pucusana,SMI,,,
Asesor de Créditos Hipotecarios / Piura,CAJA TRUJILLO,,,
Operador Maquinista Secundaria Completa/ Empresa de plástico,SMI,,,
Analista de aseguramiento de la calidad /Pucusana /Chilca /Punta Hermosa,SMI,,,
"Trabaja de Lunes a Viernes Asesor de Ventas Claro sedes Sjl o Surco, Sueldo fijo + Comisiones",NEMO CONTACT CENTER E.I.R.L.,,,
Asistente comercial,FORMAT,,,
Trabaja de L a V !! Ventas Call Center ¡Sueldo Fijo+Comisiones sin Tope+Bonos!,NEMO CONTACT CENTER E.I.R.L.,,,
Promotor rubro ferretería (cerraduras y grifería)/  Tiendas Promart Sodimac Maestro// Zona SUR,Soporte Promocional SAC,,,
Reclutador de Oficina,,,,
Operario de limpieza ¡Únete a Silsa en Lima Metropolitana!,SILSA,,,
"Agente de seguridad. Sede: Zárate, SJL",Grupo Pionier,,,
Analista CRM Marketing / Topitop,Topitop,,,
agente de call center,HUARCAYA ALVAREZ JAVIER,,,
recepcionista,OASIS SUITES S.A.C,,,
Asesores TC Call Center // Banco DaVivienda,,,,
Supervisor de estrategia digital y contenido / Marketing,Cafeladerías 4D,,,
Analista de estrategia digital y contenido / Marketing,Cafeladerías 4D,,,
Piloto Paramedico de ambulancia,Grupo San Pablo,,,
Analista de marketing,SIGNIA SOLUCIONES LOGISTICAS S.A.C.,,,
Operario de Reparto y distribución s/1380 + Desayunos,Total Talent Human Resources,,,
Técnico Biomédico,Grupo San Pablo,,,
Programador. NET,Grupo Expro,,Presencial y remoto,
Analista programador de TI,,,Presencial y remoto,
Analista SIG,Rock Drill Cont. Civ. y Mineros S.A.C.,,,
Inspector/a de calidad de materia prima Dirigido a Hombres y Mujeres,Danper Trujillo SAC,,,
Asistente de Automatización,Molitalia,,Presencial y remoto,
Asesor Comercial Banco Scotiabank Sede Chincha,Sef Peru Holding SAC,,,
Asistente de Ventas,,,,
Asistente de Recursos Humanos,ADITIVOS ESPECIALES S.A.C,,,
Asistente de Recursos Humanos y Planillas,ADITIVOS ESPECIALES S.A.C,,,
Secretario Administrativo Auditoria / Clínica San Juan Bautista (Grupo San Pablo),Grupo San Pablo,,,
Admisionista Ambulatorio / Clínica San Juan Bautista (Grupo San Pablo),Grupo San Pablo,,,
Atención al cliente/ Ventas/Pedregal,Estilos S.R.L.,,,
Atención al cliente para Clínica de Salud Chile / Presencial y Remoto / Banmedica,TRUSTCORP SAC,,Presencial y remoto,
Call Center Atención al Cliente Rubro Salud Chile / Indisa Imagenología / Trabajo Remoto,TRUSTCORP SAC,,,
Mensajero Motorizado / Zona Este o Centro / Escoge Tu Zona de Trabajo!!!,Afe Service Sac,,,
Asesor de Ventas / Sector Minero,OA PEOPLE STAFFING E.I.R.L.,,,
Asistente de Gerencia General / Surquillo,Afe Service Sac,,,
Técnico de Instalaciones de  HFC Y FTTH / Cortes y Cobranzas,CABLE PERU,,,
Chofer de Reparto  Chimbote,NOGASA S.A.C.,,,
Asistente de logística por reemplazo,Club Internacional Arequipa,,,
Ayudante de Excel Básico / Producción,Corporación de Industrias Plásticas S. A.,,,
Practicante de Software / Sede Ate,Corporación de Industrias Plásticas S. A.,,,
Supervisor de Contact Center,Universidad Catolica Santo Toribio de Mogrovejo,,,
"Asesor de Ventas, Servicios educativos",Universidad Catolica Santo Toribio de Mogrovejo,,,
Auxiliar Administrativo Contable / Lince,ANDES EXPRESS S.A.C.,,,
Practicante Profesional de Reclutamiento  y Selección,Esmeralda  Corp S.A.C.,,,
Técnico de Mantenimiento Externo,Solpack S.A.C.,,,
Promotora de Ventas,REFAX PERÚ S.A.,,,
Promotora de Ventas,REFAX PERÚ S.A.,,,
Asistente de recursos humanos,CONSORCIO MASTER PERU,,,
Especialista de sistemas y soporte Técnico / Independencia,,,,
Analista 1 – Capacitación y Desarrollo,Bigmond Group,,,
Gestor de inventario o auxiliar de auditoria Cusco/Puno/Andahuaylas/Abancay/Ayacucho/Huancavelica,Grupo Tawa,,,
¡¡ Urgente trabaja Remoto Asesores de Cobranza Castigo call center!!  con Experiencia Gana de s/1300,Kobranzas SAC,,,
Técnico en Farmacia Trujillo,Grupo Intercorp,,,
Inspector/a de Aseguramiento de la calidad Agricola Dirigido a Hombres y Mujeres,Danper Trujillo SAC,,,
Asesor Comercial Banco BBVA Chincha,Sef Peru Holding SAC,,,
Asistente Administrativo Licencias,Bitel,,,
Asistente SAP,,,,
Licenciada en Enfermeria Neonatología,Grupo San Pablo,,,
Especialista técnico People Soft,Grupo Educa_d,,Presencial y remoto,
Representante de Ventas Contado (Arequipa),Rico Pollo S.A.C.,,,
Gerente Territorial,,,,
Asesor(a) de Negocios Crédito Individual,Compartamos Banco,,,
Controlador de Servicios,FARGOLINE S.A.,,,
Asesor Comercial Banco BBVA Pisco,Sef Peru Holding SAC,,,
Practicante de planeamiento estratégico de Corporaciones y Empresas,Adecco Perú S.A.,,Presencial y remoto,
Técnico Mecánico de Mantenimiento,Pamolsa,,,
Auxiliares de reparto / Sueldo 1130 a 1350 / Planilla Directa,Total Talent Human Resources,,,
Auxiliares de Almacén,ABISERVI SAC,,,
Asesor de Ventas de campo POS OpenPay / BBVA,PYMEPAY,,,
Practicante de Machine Learning,Creditex S.A.A.,,,
Operador de bomba de concreto,Grupo Pacasmayo,,,
Coordinador(a) de Operaciones / Ayaviri,Caja Rural de Ahorro y Credito Los Andes S.A.,,,
Asesor Crédito Individual Trujillo,Compartamos Banco,,,
"Operador de Camión Fabrica 14x7 Marcona, ICA",San Martin Contratistas Generales S.A,,,
Supervisor de Patio/ Turno Rotativo,FARGOLINE S.A.,,,
"Buscamos tu talento en ventas, Asesores Financieros con  o sin experiencia",Sef Peru Holding SAC,,,
Especialista de Distribución,Manpower,,,
Asistente de Distribución,Manpower,,,
Asistente de Distribución,Manpower,,,
Asistente de Monitoreo,Manpower,,,
Encargado de Almacén,,,,
Supervisor de Ventas de campo POS OpenPay / BBVA,PYMEPAY,,,
Gerente o jefe comercial inmobiliario,,,,
Analista de Compras,Apex America Perú,,,
Asistente de Marketing Junior,GRUPO ROYAL SAC,,,
Coordinador de Atención al usuario /Telecomunicaciones,,,,
Soporte TI,Telsur Peru,,,
Reclutador operativo,Agrovision Peru Sac,,,
Químico farmacéutico,Grupo San Pablo,,,
Asesor/a de Social Selling – Ventas por Redes Sociales,ITSYSTEMS,,,
Chofer A3C / A3B,Raciemsa,,,
Especialista en Redes y Telecomunicaciones,JLV CONSULTORES,,,
Asistente Administrativo,,,,
Cadista,ADERBEST,,,
Responsable de sistemas de informacion,,,,
Chofer A1 para Telefonía,LARI CONTRATISTAS S.A.C.,,,
Analista Programador Full Stack,,,Presencial y remoto,
Analista de QA,RECSA PERÚ,,,
Asistente de facturación Clínica San Gabriel,Grupo San Pablo,,,
Auxiliar de verificación de Liquidaciones – Facturación,Manpower,,,
Key Account Manager,Gate Gourmet Perú,,,
Ingeniero de Costos y Presupuesto Sanitario,Natural Gas Company S.A.C.,,,
Operador de mixer Tumbes,Grupo Pacasmayo,,,
Practicante Comercial,Grupo EFE,,Presencial y remoto,
Programador (Temporal),Caja Rural de Ahorro y Credito Los Andes S.A.,,,
Ejecutiva comercial,Consulting Advisers,,,
Tecnico Automotriz  Electricista,Talma Servicios Aeroportuarios,,Presencial y remoto,
Ejecutivo(a) de Ventas Casco Urbano,Huemura SAC,,,
Ayudante de Topografia / Mineria 14x7,San Martin Contratistas Generales S.A,,,
Practicante Profesional de SIG,AGRICOLA CERRO PRIETO S.A,,,
Asesor(a) de Negocios de Crédito Grupal en Campo Ag. San Martin de Porres,Compartamos Banco,,,
Asistente de Reclutamiento y Selección de Personal,Kobranzas SAC,,,
Técnico Mecánico,Pamolsa,,,
Supervisor de Sanidad Citricos,CAMPOSOL S.A.,,,
Urgente Ejecutivos De Ventas De Productos Financieros/Huaraz,Sef Peru Holding SAC,,,
Balancero/a,FARGOLINE S.A.,,,
Ingeniero de Procesos,,,,
Gestor comercial,WINTERHALTER PERU S.A.C.,,,
Consultor de ventas vehiculares,AUTOMOTRIZ INCAMOTORS S.A.C.,,,
Contador,METRO CUADRADO-INVERSION Y CONSTRUCCION S.A.C.,,,
Consultor de ventas vehiculares,AUTOMOTRIZ INCAMOTORS S.A.C.,,,
Gestor comercial,WINTERHALTER PERU S.A.C.,,,
Clasificado por Reglas,,,,
Recepcionista atención a clientes,CIRCUITO VIAL LIMA NORTE,,,
Asistente de Operaciones,EMERGENT COLD LOGISTICS S.R.L.,,,
Asistente Administrativo(a),CONTACTA HABILIDAD,,,
Asesor(a) Comercial para Editorial,NUESTRA SEÑORA DE LA MERCED,,,
Supervisor de Producción,LIVING GREEN,,,
Asesor de Repuestos,HOWO POWER SOCIEDAD ANONIMA CERRADA,,,
Asistente de Logística Inmobiliaria Grupo Royal SAC,GRUPO ROYAL SAC,,,
recepcionista cajera,GRUPO PARCKER'S S.A.C,,,
Ejecutivo de Ventas Corporativo,SAM,,,
Jefe de Ventas,PROMOTORA FARO DE ROMA S.A.C.,,,
Admisionista,Médica Ocular,,,
Televendedora,BESIM CORP,,,
Auxiliar de laboratorio Textil,TEJIDOS JORGITO SAC,,,
Asistente de Marketing / Community Manager,CAMIONES CHINOS PERU SAC.,,,
Analista de Operaciones,TIME JOBS,,,
Asistente de Bienestar Social Chao,ECOBUS S.A.C.,,,
Técnico Electricista Industrial,IMPORT EXPORT TOOLS SAC,,,
Diseñador de Viajes,ANTIPODE,,,
Auxiliar de oficina,,,,
Aseor de Servicios.,,,,
Ejecutivo de Ventas de Autopartes,CORPORACION JRC PERU S.A.C.,,,
Analista Programador Fullstack  Junior,Materia Gris,,,
Mercaderista de Aje en Zona Este,Deal Brand,,,
ejecutivo/a de venta,JUNIOS GROUP ETIQUETAS Y ADHESIVOS SAC,,,
Analista de Procesos Electrohidráulicos,RESEMIN,,,
Asesor de Telemarketing EPG,Universidad San Ignacio de Loyola,,,
Analista junior de Reclutamiento y selección,BYV IESEMIN SAC,,,
Piloto de Dron,,,,
Analista Contable,MISIÓN TECNOLÓGICA,,,
Coordinador Administrativo Comercial,abanza,,,
Jefe de Atención al Cliente Usuario,SOHO COLOR,,,
Coordinador BIM (Planta industrial),JLV CONSULTORES,,,
Asistente Comercial,TRAMONTINA,,,
Practicante Profesional Administrativo de Análisis de Gestión,I - COMPLEMENT S.A.C.,,,
Encargado de Mantenimiento,,,,
Coordinador de Operaciones TRC,Servicios Aeroportuarios Andinos SA,,,
Operario de Máquinas y Herramientas (Conoc. Amoladora o Esmeril) Callao Ventanilla,GRUPO METALINDUSTRIAS,,,
Practicante Profesional de BI,RECSA PERÚ,,Presencial y remoto,
Operario de Máquinas y Herramientas (Conoc. Amoladora o Esmeril) Callao Ventanilla,GRUPO METALINDUSTRIAS,,,
Digitadora,OPERADOR LOGISTICO PUCHOC EIRL,,,
Operario Caminante para Lectura / Corte / Recibo,LARI CONTRATISTAS S.A.C.,,,
Técnico mecánico / Juliaca,Raciemsa,,,
Asesor Financiero Santander Juliaca,Sef Peru Holding SAC,,,
Controller de Contact Center,Universidad Peruana Cayetano Heredia,,,
Técnico de laboratorio,INTEGRAMEDICA PERU,,,
Analista de Infraestructura Cloud,,,Presencial y remoto,
Ingeniero de Costos y Presupuesto Electrico,Natural Gas Company S.A.C.,,,
Asesor de Ventas Empresas,GPC Perú,,,
Electricista (Rioja),Grupo Pacasmayo,,,
Ingeniero de Cotizaciones Básicas,Din Automatización SAC,,,
Analista de Integridad Estructural,MAKYL ECS E.I.R.L.,,,
¡¡ Urgente trabaja Remoto Asesores de Cobranza call center!!  con Experiencia Gana de s/1200,Kobranzas SAC,,,
enfermero/a,,,,
Programador (Temporal),Caja Rural de Ahorro y Credito Los Andes S.A.,,,
Analista de costos Contable,Llamagas,,,
6713 Técnico Operador de Terminal (experiencia en sector hidrocarburos) Residentes Chimbote,Grupo Aenza,,,
Técnico de Mantenimiento (Planta/Almacén Lurín),Cushman & Wakefield Peru,,,
Analista senior de control de gestión,,,,
Asesor/a televentas / Callcenter / Comisiones / Horario hibrido,Sharf,,Presencial y remoto,
Operador de volquete / Mineria 14x7,San Martin Contratistas Generales S.A,,,
Ingeniero de seguridad y medio ambiente,ALEJOS SRL,,,
Auxiliar,MERINSAC,,,
Técnico Matricero/a,Tecnofil S.A.,,,
Practicante Profesional Logístico,,,,
Jefe de Calidad Pachacamac,,,,
Técnico de reparación de componentes / Callao,KOMATSU - MITSUI MAQUINARIAS,,,
Ejecutivo(a) de Ventas Norte Chico,Huemura SAC,,,
Técnico Automotriz Electricista,Talma Servicios Aeroportuarios,,,
"Responsable de Producto: Préstamos PYME, Hipotecario",Cooperativa de Ahorro y Credito Los Andes,,,
analista comercial,,,,
Técnico en Contabilidad para Recursos Humanos San Borja,,,,
Reclutador de Campo,Transportes Acoinsa S.A,,,
Controlador de Patio Importaciones/Exportaciones,FARGOLINE S.A.,,,
Asesor de negocios,,,,
Asistente Administrativo,Disposed Courier S.A.C.,,,
Técnico de laboratorio (Miraflores),Unilabs,,,
Operario de Almacén de Materia Prima,INCA TOPS S.A.,,,
C A J A M A R C A ¡Jaen!  Ejecutivo Préstamos por Convenio BBVA,,,,
C A J A M A R C A ¡San Ignacio!  Ejecutivo Préstamos por Convenio BBVA,,,,
C A J A M A R C A ¡Chota!  Ejecutivo Préstamos por Convenio BBVA,,,,
¡C H I C L A Y O! Ejecutivo Préstamos por Convenio BBVA,,,,
Supervisor(a) de Ventas / Exp. en FFVV / Rubro Financiero,Sef Peru Holding SAC,,,
Clasificado por Reglas,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Analista de Finanzas,VIP2CARS,,,
Clasificado por Reglas,BairesDev LLC,,,
Trabajo Desde Casa Power BI / Ref. 0221,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Trabajo Desde Casa Ingeniero Fullstack Node + Nest + React / Ref. 0111,BairesDev LLC,,,
Trabajo Desde Casa Ingeniero Node / Ref. 0111,BairesDev LLC,,,
Trabajo Desde Casa Ingeniero Python / Ref. 0071,BairesDev LLC,,,
Trabajo Desde Casa Python Developer / Ref. 0071,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
¡T R U J I L L O! Asesor Préstamos Convenios BBVA,,,,
¡H U A R A Z! Ejecutivo de Préstamos Personales por Convenio BBVA,,,,
Trabajador(a) Social / Régimen Atípico 14x7,Manpower,,,
Clasificado por Reglas,BairesDev LLC,,,
Asesor de Financiero para Banco Bbva,,,,
Ejecutivos de Ventas! Area de Portabilidad Trabaja Remoto! Turno Mañan! 8Am! Planila Completa! +1500,,,,
BCP / Asesor Outbound IO Senior,Adecco Perú S.A.,,,
practicante,UNIDX,,,
Operario de Inventarios y registro de insumos exp Excel,Aramburú Matriz,,,
Operador de excavadora /Tembladera,San Martin Contratistas Generales S.A,,,
"Cajeros Peak Time 3 dias / Metro Atocongo, Metro Limatambo, Metro Canadá, Metro Gamarra",Cencosud Peru S.A,,,
Analista de Planeamiento Financiero / Híbrido / Planilla completa,Overall Strategy,,Presencial y remoto,
Asistente de Operaciones de Afilicación/ Sector Salud/ Remoto,Manpower,,,
Analista de desarrollo de negocios,Grupo Educa_d,,,
Auxiliar de facturación,Manpower,,,
Descansa 2 días a la semana/ Back Office/ Entel Chile/  Planilla Completa,Entel Connect Center,,,
Chat y llamadas/ Back Office/ Entel Chile/  Planilla Completa,Entel Connect Center,,,
Trabaja en Back office con o sin experiencia en el área/ chat y llamadas/  Planilla Completa,Entel Connect Center,,,
Técnico Electrónico,Amcor Flexibles Lima,,,
Asistente Calidad / Agroindustrial / Certificaciones / Ica / Ref. 75157,Manpower,,,
Asesor de Negocios / Chincha,CAJA TRUJILLO,,,
Coordinador (a) de Transporte/Agencias Terrestres/ Trabajo de Campo / Villa el Salvador / Ref. 80335,Manpower,,,
¡T R U J I L L O! Asesor de ventas Scotiabank,,,,
¡C H I C L A Y O! Asesor de ventas Scotiabank,,,,
¡H U A N C A Y O! Asesor Prestamos Scotiabank,MF Asesoria y Consultoria SAC,,Presencial y remoto,
Trabajo Desde Casa Ingeniero ETL / Ref. 0339,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Practicante Profesional Administración y Finanzas,INSTITUTO DE GAMMA KNIFE DEL PACIFICO,,,
Auxiliar de control de producción / Planta de Alimentos – Lurín,Tiendas Tambo,,,
Area de Ventas! Home Office! Solicitamos 75 Teleoperadores Area de Ventas! Planilla Completa +1500,,,,
"Call center Wow / Planilla s/1,500 + Comisiones / Oficina  San Borja",NOGALES HIGH S.A.C.,,,
Trabajo Desde Casa Líder Técnico C++ / Ref. 0043,BairesDev LLC,,,
Analista Programador ODOO,MEYTEN,,,
Asistente Bilingüe para el distrito de San Isidro,Adecco Perú S.A.,,,
Trabajo Desde Casa Analista de Gestión Empresarial / Ref. 0031,BairesDev LLC,,,
Trabajo Desde Casa Analista de Business Intelligence / Ref. 0078,BairesDev LLC,,,
Call Center Atención al Cliente para Banco / salario s/1200 + s/700 + Bonos + Planilla Completa,TRUSTCORP SAC,,,
Técnica(o)s de Farmacia para el Rimac,Grupo Intercorp,,,
Coop. America disponibilidad inmediata: Técnica(o)s en Farmacia,Grupo Intercorp,,,
Asesores de Prestamos Personales por Convenio BBVA,,,Presencial y remoto,
Trabajo Desde Casa Gerente de Ingeniería Análitica / Ref. 0078,BairesDev LLC,,,
¡B A R R A N C A ! Ejecutivo de Préstamos Personales por Convenio BBVA,,,Presencial y remoto,
¡H U A R A L! Ejecutivo de Préstamos Personales por Convenio BBVA,,,,
Trabajo Desde Casa Tester de Software (QA) / I + D / Ref. 0027,BairesDev LLC,,,
Trabajo Desde Casa Ingeniero de Automatización de QA / Investigación y Desarrollo / Ref. 0050,BairesDev LLC,,,
Trabajo Desde Casa Analista de QA Senior / Investigación y Desarrollo / Ref. 0027,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Trabajo Desde Casa Automatizador Junior QA / Investigación + Desarrollo / Ref. 0166,BairesDev LLC,,,
Técnico en Farmacia Mifarma / San Borja San Luis,Grupo Intercorp,,,
Ejecutivo de Banca Negocios / Prestamype,Sef Peru Holding SAC,,,
Clasificado por Reglas,BairesDev LLC,,,
Asesor Call Center/ Descansa SaBADo y DOMiNGo/ Solo de 6am a 2:45pm/Con o SIN EXP/Sueldo Fijo S/1500,Grupo Expro,,,
Urgente! Se busca Auxiliar de  verificación de liquidaciones – facturación / San Isidro,Manpower,,,
Clasificado por Reglas,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Asesor(a) inmobiliario / Sede Lurin / Sin experiencia,,,,
Técnico en Farmacia San Martín de Porres,Grupo Intercorp,,,
Encuestador de campo/ Auditor de campo canal tradicional,Adecco Perú S.A.,,,
Técnico en Farmacia Los Olivos,Grupo Intercorp,,,
Tutor(a) Académico(a) / Experiencia en Programas Sociales y/o Municipalidades / Part time,Manpower,,,
Auxiliar de Verificación y Facturación para Miraflores,Manpower,,,
Operario Electricista (Ayacucho),Grupo Tawa,,,
Asesor Financiero para el Banco Scotiabank,Sef Peru Holding SAC,,,
Analista Jr. Compras / Retail,Manpower,,,
Ejecutivo Comercial de Productos Financieros Cusco,Sef Peru Holding SAC,,,
Asesor Comercial Entidad Bancaria en Chincha,Sef Peru Holding SAC,,,
Canales escritos/Banco BBVA/Descansa domingo,Atento Perú,,,
Urgente! Atención al cliente (Caja) / Part time / Lima Metropolitana,,,,
Nuevo Tambo San Miguel (Bertolotto 720) / (Atención al cliente) Full time,Tiendas Tambo,,,
