puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Especialista Técnico en Redes y Seguridad Informática,OVERWARE TECHNOLOGY S.A.C.,,Presencial y remoto,
Auxiliar de Recuento BCP Municipalidad de Independencia,Adecco Perú S.A.,,,
Gestor de Servicios: Tienda Chepen,CAJA TRUJILLO,,,
Gestor de Servicios: Tienda Pedro Ruiz,CAJA TRUJILLO,,,
"Responsable de Instalaciones de Networking, Servidores y Desarrollo de Sistemas (Cercado de Lima)",JLV CONSULTORES,,,
Agente inmobiliario freelance,,,Presencial y remoto,
Auxiliar de mantenimiento,QF Farmacia Magistral,,,
Auxiliar de archivo en Ruta,POLYSISTEMAS CORP S.A.C.,,,
Programador de Sistemas Senior,,,,
Tecnico Electrónico Jr.,CIRSA,,,
Supervisor(a) de Distribución,Unión de Concreteras S.A.,,,
Técnico de Telecomunicaciones Con licencia de conducir Tarapoto,Manpower,,,
Asesor de Negocios Con/Sin Experiencia Agencia Manantay (Pucallpa),Caja Huancayo,,,
Auxiliar de almacén,FUXION,,,
Vendedor (a) – Part Time para Tienda American Brands en Open Plaza Atocongo,BRANDINT,,,
"¡Gana lo que tú quieras! Asesor de Ventas con Bonos Diarios, Semanales y Comisiones Sin Límite",INCLICK CONTAC CENTER S.A.C.,,,
"¡Con o sin experiencia! !GANA hasta S/. 2,000 + Bonos Diarios y Semanales! / Asesores de Venta",INCLICK CONTAC CENTER S.A.C.,,,
Clasificado por Reglas,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,,Presencial y remoto,
Analista Senior Data Engineer,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,,Presencial y remoto,
¡Urgente! Lima Norte / Asesores de Chat y llamadas / Disponibilidad Inmediata,INCLICK CONTAC CENTER S.A.C.,,,
Asesor de Negocios Con Experiencia Agencia Huancas (Huancayo),Caja Huancayo,,,
Operador Call Center,KasNet,,,
Escuela de Asesores de Negocios Sede Tacna,Caja Huancayo,,,
Monitor de calidad para call center de cobranza + planilla completa,CONSULTORES LEGALES ASOCIADOS S.A,,,
Trabajo Desde Casa Ingeniero en Redes / Ref. 0044,BairesDev LLC,,,
Trabajo Desde Casa Analista de Soporte de TI / Ref. 0080,BairesDev LLC,,,
Asistente de Soporte Técnico,Textile Sourcing Company S.A.C,,,
Analista de Sistemas,TECNIKA SOLUCIONES S.R.L.,,Presencial y remoto,
Médico Ocupacional / Unidad Minera,Grupo San Pablo,,,
Auditor de Campo Última Milla / Lima / Planilla Win,WIN,,,
Analista Programador / Sector Logístico / Lince,ANDES EXPRESS S.A.C.,,,
Auxiliar de reparto para el área de Transporte,Grupo Perú Alfa,,,
Clasificado por Reglas,INDIGITAL,,Presencial y remoto,
Líder Técnico de Desarrollo,INDIGITAL,,Presencial y remoto,
Operador Soc (a) Junior / Help Desk,INDIGITAL,,Presencial y remoto,
Técnico de Mantenimiento Chimbote,LIMAGAS NATURAL PERU S.A.,,,
Analista TI / San Borja,,,,
Docente de Mecánica Automotriz,SENATI,,,
Tecnico de computadoras y NB,CORPORACION SAGOTA SAC,,,
Analista de Inteligencia de Negocios/Rubro Outsourcing,,,,
Ejecutiva de Operaciones / Trujillo,COOPAC Santa Isabel,,,
Analista de Infraestructura y Sistemas,Peru Forus S.A.,,,
QA Lab Automation,NTT DATA,,Presencial y remoto,
Higienista Ocupacional / Unidad Minera,Grupo San Pablo,,,
